Energy,Counts,CountErr,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
3.4,60,7.7459667,1.3272951,3158.0066,0.17135306,LnL70+S,1.155942,1.4986482,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
3.6,42,6.4807407,0.92910657,3158.0066,0.14336426,LnL70+S,0.78574231,1.0724708,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
3.8,27,5.1961524,0.59728279,3158.0066,0.11494713,LnL70+S,0.48233567,0.71222992,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
4,10,3.1622777,0.22121585,3158.0066,0.069954594,LnL70+S,0.15126126,0.29117044,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
4.2,16,4,0.35394536,3158.0066,0.08848634,LnL70+S,0.26545902,0.4424317,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
4.4,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+S,0.078542914,0.18691611,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
4.6,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+S,0.078542914,0.18691611,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
4.8,18,4.2426407,0.39818853,3158.0066,0.093853937,LnL70+S,0.30433459,0.49204247,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
5,9,3,0.19909426,3158.0066,0.066364755,LnL70+S,0.13272951,0.26545902,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
5.2,13,3.6055513,0.2875806,3158.0066,0.079760509,LnL70+S,0.2078201,0.36734111,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
5.4,18,4.2426407,0.39818853,3158.0066,0.093853937,LnL70+S,0.30433459,0.49204247,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
5.6,20,4.472136,0.4424317,3158.0066,0.098930736,LnL70+S,0.34350096,0.54136244,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
5.8,12,3.4641016,0.26545902,3158.0066,0.076631418,LnL70+S,0.1888276,0.34209044,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
6,9,3,0.19909426,3158.0066,0.066364755,LnL70+S,0.13272951,0.26545902,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
