Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
4.8,0.64152596,3158.0066,0.11912838,MLP@95,0.52239758,0.76065435,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
5,0.33182377,3158.0066,0.08567653,MLP@95,0.24614724,0.41750031,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
5.2,0.57516121,3158.0066,0.11279839,MLP@95,0.46236282,0.6879596,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
5.4,0.66364755,3158.0066,0.12116491,MLP@95,0.54248264,0.78481246,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
5.6,0.61940438,3158.0066,0.11705642,MLP@95,0.50234795,0.7364608,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
5.8,0.53091804,3158.0066,0.10837319,MLP@95,0.42254485,0.63929123,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
6,0.50879645,3158.0066,0.10609139,MLP@95,0.40270506,0.61488785,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
6.2,0.68576913,3158.0066,0.12316777,MLP@95,0.56260136,0.80893691,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
6.4,0.53091804,3158.0066,0.10837319,MLP@95,0.42254485,0.63929123,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
6.6,0.39818853,3158.0066,0.093853937,MLP@95,0.30433459,0.49204247,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
6.8,0.35394536,3158.0066,0.08848634,MLP@95,0.26545902,0.4424317,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
7,0.8848634,3158.0066,0.13990919,MLP@95,0.74495421,1.0247726,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
7.2,0.68576913,3158.0066,0.12316777,MLP@95,0.56260136,0.80893691,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
7.4,0.77425547,3158.0066,0.13087306,MLP@95,0.64338241,0.90512854,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
7.6,0.66364755,3158.0066,0.12116491,MLP@95,0.54248264,0.78481246,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
7.8,0.97334974,3158.0066,0.14673799,MLP@95,0.82661175,1.1200877,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
8,0.97334974,3158.0066,0.14673799,MLP@95,0.82661175,1.1200877,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
8.2,1.0618361,3158.0066,0.15326284,MLP@95,0.90857324,1.2150989,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
8.4,1.1060792,3158.0066,0.15642323,MLP@95,0.94965602,1.2625025,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
8.6,1.3494167,3158.0066,0.1727751,MLP@95,1.1766416,1.5221918,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
8.8,1.5042678,3158.0066,0.18241926,MLP@95,1.3218485,1.686687,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
9,1.6369973,3158.0066,0.19029707,MLP@95,1.4467002,1.8272944,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
9.2,1.1060792,3158.0066,0.15642323,MLP@95,0.94965602,1.2625025,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
9.4,1.2388088,3158.0066,0.16554278,MLP@95,1.073266,1.4043515,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
9.6,0.95122815,3158.0066,0.14506093,MLP@95,0.80616722,1.0962891,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
9.8,0.90698498,3158.0066,0.14164726,MLP@95,0.76533773,1.0486322,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
10,0.59728279,3158.0066,0.11494713,MLP@95,0.48233567,0.71222992,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
10.2,0.57516121,3158.0066,0.11279839,MLP@95,0.46236282,0.6879596,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
10.4,0.30970219,3158.0066,0.082771392,MLP@95,0.2269308,0.39247358,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
10.6,0.39818853,3158.0066,0.093853937,MLP@95,0.30433459,0.49204247,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
10.8,0.13272951,3158.0066,0.054186596,MLP@95,0.078542914,0.18691611,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
11,0.19909426,3158.0066,0.066364755,MLP@95,0.13272951,0.26545902,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
11.2,0.15485109,3158.0066,0.058528212,MLP@95,0.096322882,0.21337931,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
11.4,0.11060792,3158.0066,0.049465368,MLP@95,0.061142557,0.16007329,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
11.6,0.066364755,3158.0066,0.038315709,MLP@95,0.028049046,0.10468046,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
11.8,0.08848634,3158.0066,0.04424317,MLP@95,0.04424317,0.13272951,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.2,106.47119,3158.0066,1.5347024,MLP@98,104.93649,108.00589,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
0.4,34.996347,3158.0066,0.87987196,MLP@98,34.116475,35.876219,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
0.6,20.37398,3158.0066,0.67134546,MLP@98,19.702634,21.045325,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
0.8,10.131686,3158.0066,0.47342259,MLP@98,9.6582633,10.605109,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
1,7.7204332,3158.0066,0.41326531,MLP@98,7.3071678,8.1336985,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
1.2,4.0924932,3158.0066,0.30088609,MLP@98,3.7916071,4.3933793,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
1.4,3.7164263,3158.0066,0.28672851,MLP@98,3.4296978,4.0031548,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
1.6,3.1412651,3158.0066,0.26360911,MLP@98,2.877656,3.4048742,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
1.8,2.2564017,3158.0066,0.22341706,MLP@98,2.0329846,2.4798187,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
2,2.1457937,3158.0066,0.21787234,MLP@98,1.9279214,2.3636661,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
2.2,1.7918484,3158.0066,0.19909426,MLP@98,1.5927541,1.9909426,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
2.4,1.3272951,3158.0066,0.17135306,MLP@98,1.155942,1.4986482,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
2.6,1.7918484,3158.0066,0.19909426,MLP@98,1.5927541,1.9909426,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
2.8,1.6812405,3158.0066,0.19285151,MLP@98,1.488389,1.874092,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
3,2.4997391,3158.0066,0.23515567,MLP@98,2.2645834,2.7348948,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
3.2,2.2785233,3158.0066,0.22450957,MLP@98,2.0540137,2.5030328,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
3.4,2.079429,3158.0066,0.21447672,MLP@98,1.8649523,2.2939057,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
3.6,1.6812405,3158.0066,0.19285151,MLP@98,1.488389,1.874092,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
3.8,1.1945656,3158.0066,0.16255979,MLP@98,1.0320058,1.3571254,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
4,0.59728279,3158.0066,0.11494713,MLP@98,0.48233567,0.71222992,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
4.2,0.77425547,3158.0066,0.13087306,MLP@98,0.64338241,0.90512854,MLP@98,0.7056055,0.98292308,MLP,true,true,true,true
