Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
10.2,0.79637706,3158.0066,0.13272951,FADC,0.66364755,0.92910657,FADC,0.784,0.8,LnL,true,true,false,false
10.4,0.64152596,3158.0066,0.11912838,FADC,0.52239758,0.76065435,FADC,0.784,0.8,LnL,true,true,false,false
10.6,0.55303962,3158.0066,0.11060792,FADC,0.4424317,0.66364755,FADC,0.784,0.8,LnL,true,true,false,false
10.8,0.33182377,3158.0066,0.08567653,FADC,0.24614724,0.41750031,FADC,0.784,0.8,LnL,true,true,false,false
11,0.42031011,3158.0066,0.096425753,FADC,0.32388436,0.51673587,FADC,0.784,0.8,LnL,true,true,false,false
11.2,0.26545902,3158.0066,0.076631418,FADC,0.1888276,0.34209044,FADC,0.784,0.8,LnL,true,true,false,false
11.4,0.24333743,3158.0066,0.073368997,FADC,0.16996844,0.31670643,FADC,0.784,0.8,LnL,true,true,false,false
11.6,0.15485109,3158.0066,0.058528212,FADC,0.096322882,0.21337931,FADC,0.784,0.8,LnL,true,true,false,false
11.8,0.19909426,3158.0066,0.066364755,FADC,0.13272951,0.26545902,FADC,0.784,0.8,LnL,true,true,false,false
0,86.915707,3158.0066,1.3866193,Line,85.529088,88.302327,Line,0.67437835,0.8,LnL,true,true,false,true
0.2,118.10714,3158.0066,1.6163902,Line,116.49075,119.72353,Line,0.67437835,0.8,LnL,true,true,false,true
0.4,67.050524,3158.0066,1.2178932,Line,65.832631,68.268417,Line,0.67437835,0.8,LnL,true,true,false,true
0.6,45.459857,3158.0066,1.0028181,Line,44.457039,46.462675,Line,0.67437835,0.8,LnL,true,true,false,true
0.8,29.222614,3158.0066,0.80402148,Line,28.418592,30.026635,Line,0.67437835,0.8,LnL,true,true,false,true
1,18.98032,3158.0066,0.64797744,Line,18.332342,19.628297,Line,0.67437835,0.8,LnL,true,true,false,true
1.2,10.352902,3158.0066,0.47856305,Line,9.8743387,10.831465,Line,0.67437835,0.8,LnL,true,true,false,true
1.4,6.4152596,3158.0066,0.37671702,Line,6.0385426,6.7919767,Line,0.67437835,0.8,LnL,true,true,false,true
1.6,4.5791681,3158.0066,0.31827418,Line,4.2608939,4.8974423,Line,0.67437835,0.8,LnL,true,true,false,true
1.8,3.3182377,3158.0066,0.27093298,Line,3.0473048,3.5891707,Line,0.67437835,0.8,LnL,true,true,false,true
2,2.4776175,3158.0066,0.23411285,Line,2.2435047,2.7117304,Line,0.67437835,0.8,LnL,true,true,false,true
2.2,1.5706325,3158.0066,0.18639979,Line,1.3842327,1.7570323,Line,0.67437835,0.8,LnL,true,true,false,true
2.4,1.4821462,3158.0066,0.18107298,Line,1.3010732,1.6632192,Line,0.67437835,0.8,LnL,true,true,false,true
2.6,1.5927541,3158.0066,0.18770787,Line,1.4050462,1.780462,Line,0.67437835,0.8,LnL,true,true,false,true
2.8,1.5042678,3158.0066,0.18241926,Line,1.3218485,1.686687,Line,0.67437835,0.8,LnL,true,true,false,true
3,1.9245779,3158.0066,0.20633641,Line,1.7182415,2.1309143,Line,0.67437835,0.8,LnL,true,true,false,true
3.2,1.6148757,3158.0066,0.1890069,Line,1.4258688,1.8038826,Line,0.67437835,0.8,LnL,true,true,false,true
3.4,1.5927541,3158.0066,0.18770787,Line,1.4050462,1.780462,Line,0.67437835,0.8,LnL,true,true,false,true
3.6,1.2166872,3158.0066,0.16405807,Line,1.0526291,1.3807452,Line,0.67437835,0.8,LnL,true,true,false,true
3.8,0.81849864,3158.0066,0.13456035,Line,0.6839383,0.95305899,Line,0.67437835,0.8,LnL,true,true,false,true
4,0.33182377,3158.0066,0.08567653,Line,0.24614724,0.41750031,Line,0.67437835,0.8,LnL,true,true,false,true
4.2,0.46455328,3158.0066,0.10137384,Line,0.36317945,0.56592712,Line,0.67437835,0.8,LnL,true,true,false,true
4.4,0.26545902,3158.0066,0.076631418,Line,0.1888276,0.34209044,Line,0.67437835,0.8,LnL,true,true,false,true
4.6,0.22121585,3158.0066,0.069954594,Line,0.15126126,0.29117044,Line,0.67437835,0.8,LnL,true,true,false,true
4.8,0.50879645,3158.0066,0.10609139,Line,0.40270506,0.61488785,Line,0.67437835,0.8,LnL,true,true,false,true
5,0.33182377,3158.0066,0.08567653,Line,0.24614724,0.41750031,Line,0.67437835,0.8,LnL,true,true,false,true
5.2,0.33182377,3158.0066,0.08567653,Line,0.24614724,0.41750031,Line,0.67437835,0.8,LnL,true,true,false,true
5.4,0.55303962,3158.0066,0.11060792,Line,0.4424317,0.66364755,Line,0.67437835,0.8,LnL,true,true,false,true
5.6,0.50879645,3158.0066,0.10609139,Line,0.40270506,0.61488785,Line,0.67437835,0.8,LnL,true,true,false,true
5.8,0.33182377,3158.0066,0.08567653,Line,0.24614724,0.41750031,Line,0.67437835,0.8,LnL,true,true,false,true
6,0.30970219,3158.0066,0.082771392,Line,0.2269308,0.39247358,Line,0.67437835,0.8,LnL,true,true,false,true
6.2,0.57516121,3158.0066,0.11279839,Line,0.46236282,0.6879596,Line,0.67437835,0.8,LnL,true,true,false,true
6.4,0.50879645,3158.0066,0.10609139,Line,0.40270506,0.61488785,Line,0.67437835,0.8,LnL,true,true,false,true
6.6,0.30970219,3158.0066,0.082771392,Line,0.2269308,0.39247358,Line,0.67437835,0.8,LnL,true,true,false,true
6.8,0.22121585,3158.0066,0.069954594,Line,0.15126126,0.29117044,Line,0.67437835,0.8,LnL,true,true,false,true
7,0.53091804,3158.0066,0.10837319,Line,0.42254485,0.63929123,Line,0.67437835,0.8,LnL,true,true,false,true
7.2,0.46455328,3158.0066,0.10137384,Line,0.36317945,0.56592712,Line,0.67437835,0.8,LnL,true,true,false,true
7.4,0.66364755,3158.0066,0.12116491,Line,0.54248264,0.78481246,Line,0.67437835,0.8,LnL,true,true,false,true
7.6,0.42031011,3158.0066,0.096425753,Line,0.32388436,0.51673587,Line,0.67437835,0.8,LnL,true,true,false,true
7.8,0.8848634,3158.0066,0.13990919,Line,0.74495421,1.0247726,Line,0.67437835,0.8,LnL,true,true,false,true
8,0.70789072,3158.0066,0.12513858,Line,0.58275214,0.8330293,Line,0.67437835,0.8,LnL,true,true,false,true
8.2,0.90698498,3158.0066,0.14164726,Line,0.76533773,1.0486322,Line,0.67437835,0.8,LnL,true,true,false,true
8.4,0.86274181,3158.0066,0.13814925,Line,0.72459256,1.0008911,Line,0.67437835,0.8,LnL,true,true,false,true
8.6,1.1060792,3158.0066,0.15642323,Line,0.94965602,1.2625025,Line,0.67437835,0.8,LnL,true,true,false,true
8.8,1.1945656,3158.0066,0.16255979,Line,1.0320058,1.3571254,Line,0.67437835,0.8,LnL,true,true,false,true
9,1.4157814,3158.0066,0.17697268,Line,1.2388088,1.5927541,Line,0.67437835,0.8,LnL,true,true,false,true
9.2,1.1503224,3158.0066,0.15952102,Line,0.9908014,1.3098434,Line,0.67437835,0.8,LnL,true,true,false,true
9.4,1.2166872,3158.0066,0.16405807,Line,1.0526291,1.3807452,Line,0.67437835,0.8,LnL,true,true,false,true
9.6,0.92910657,3158.0066,0.14336426,Line,0.78574231,1.0724708,Line,0.67437835,0.8,LnL,true,true,false,true
9.8,0.79637706,3158.0066,0.13272951,Line,0.66364755,0.92910657,Line,0.67437835,0.8,LnL,true,true,false,true
10,0.64152596,3158.0066,0.11912838,Line,0.52239758,0.76065435,Line,0.67437835,0.8,LnL,true,true,false,true
10.2,0.59728279,3158.0066,0.11494713,Line,0.48233567,0.71222992,Line,0.67437835,0.8,LnL,true,true,false,true
10.4,0.4424317,3158.0066,0.098930736,Line,0.34350096,0.54136244,Line,0.67437835,0.8,LnL,true,true,false,true
10.6,0.4424317,3158.0066,0.098930736,Line,0.34350096,0.54136244,Line,0.67437835,0.8,LnL,true,true,false,true
10.8,0.22121585,3158.0066,0.069954594,Line,0.15126126,0.29117044,Line,0.67437835,0.8,LnL,true,true,false,true
11,0.2875806,3158.0066,0.079760509,Line,0.2078201,0.36734111,Line,0.67437835,0.8,LnL,true,true,false,true
11.2,0.17697268,3158.0066,0.062569291,Line,0.11440339,0.23954197,Line,0.67437835,0.8,LnL,true,true,false,true
11.4,0.15485109,3158.0066,0.058528212,Line,0.096322882,0.21337931,Line,0.67437835,0.8,LnL,true,true,false,true
11.6,0.08848634,3158.0066,0.04424317,Line,0.04424317,0.13272951,Line,0.67437835,0.8,LnL,true,true,false,true
11.8,0.15485109,3158.0066,0.058528212,Line,0.096322882,0.21337931,Line,0.67437835,0.8,LnL,true,true,false,true
0,276.14375,3158.0066,2.471586,No vetoes,273.67216,278.61533,No vetoes,0.8,0.8,LnL,false,false,false,false
0.2,528.77225,3158.0066,3.4201287,No vetoes,525.35212,532.19237,No vetoes,0.8,0.8,LnL,false,false,false,false
0.4,347.0213,3158.0066,2.7706788,No vetoes,344.25062,349.79198,No vetoes,0.8,0.8,LnL,false,false,false,false
0.6,242.38621,3158.0066,2.3155922,No vetoes,240.07061,244.7018,No vetoes,0.8,0.8,LnL,false,false,false,false
0.8,163.52276,3158.0066,1.9019418,No vetoes,161.62081,165.4247,No vetoes,0.8,0.8,LnL,false,false,false,false
1,106.49331,3158.0066,1.5348618,No vetoes,104.95845,108.02817,No vetoes,0.8,0.8,LnL,false,false,false,false
1.2,66.121418,3158.0066,1.2094257,No vetoes,64.911992,67.330843,No vetoes,0.8,0.8,LnL,false,false,false,false
1.4,41.743431,3158.0066,0.9609531,No vetoes,40.782478,42.704384,No vetoes,0.8,0.8,LnL,false,false,false,false
1.6,29.598681,3158.0066,0.80917843,No vetoes,28.789502,30.407859,No vetoes,0.8,0.8,LnL,false,false,false,false
1.8,21.878248,3158.0066,0.6956878,No vetoes,21.18256,22.573935,No vetoes,0.8,0.8,LnL,false,false,false,false
2,16.834526,3158.0066,0.6102511,No vetoes,16.224275,17.444777,No vetoes,0.8,0.8,LnL,false,false,false,false
2.2,12.056264,3158.0066,0.5164336,No vetoes,11.53983,12.572697,No vetoes,0.8,0.8,LnL,false,false,false,false
2.4,9.9768348,3158.0066,0.4697908,No vetoes,9.507044,10.446626,No vetoes,0.8,0.8,LnL,false,false,false,false
2.6,8.7601477,3158.0066,0.44021398,No vetoes,8.3199337,9.2003616,No vetoes,0.8,0.8,LnL,false,false,false,false
2.8,7.2337583,3158.0066,0.40002775,No vetoes,6.8337305,7.633786,No vetoes,0.8,0.8,LnL,false,false,false,false
3,7.6319468,3158.0066,0.4108902,No vetoes,7.2210566,8.042837,No vetoes,0.8,0.8,LnL,false,false,false,false
3.2,6.4152596,3158.0066,0.37671702,No vetoes,6.0385426,6.7919767,No vetoes,0.8,0.8,LnL,false,false,false,false
3.4,6.5258676,3158.0066,0.3799507,No vetoes,6.1459169,6.9058183,No vetoes,0.8,0.8,LnL,false,false,false,false
3.6,4.1809796,3158.0066,0.30412151,No vetoes,3.876858,4.4851011,No vetoes,0.8,0.8,LnL,false,false,false,false
3.8,3.5394536,3158.0066,0.27981838,No vetoes,3.2596352,3.819272,No vetoes,0.8,0.8,LnL,false,false,false,false
4,2.610347,3158.0066,0.24030192,No vetoes,2.3700451,2.850649,No vetoes,0.8,0.8,LnL,false,false,false,false
4.2,2.5439823,3158.0066,0.23722757,No vetoes,2.3067547,2.7812098,No vetoes,0.8,0.8,LnL,false,false,false,false
4.4,2.1236722,3158.0066,0.21674638,No vetoes,1.9069258,2.3404185,No vetoes,0.8,0.8,LnL,false,false,false,false
4.6,1.5485109,3158.0066,0.18508246,No vetoes,1.3634285,1.7335934,No vetoes,0.8,0.8,LnL,false,false,false,false
4.8,1.9466995,3158.0066,0.20751886,No vetoes,1.7391806,2.1542183,No vetoes,0.8,0.8,LnL,false,false,false,false
5,1.5927541,3158.0066,0.18770787,No vetoes,1.4050462,1.780462,No vetoes,0.8,0.8,LnL,false,false,false,false
5.2,1.6148757,3158.0066,0.1890069,No vetoes,1.4258688,1.8038826,No vetoes,0.8,0.8,LnL,false,false,false,false
5.4,1.9688211,3158.0066,0.20869462,No vetoes,1.7601264,2.1775157,No vetoes,0.8,0.8,LnL,false,false,false,false
5.6,1.5485109,3158.0066,0.18508246,No vetoes,1.3634285,1.7335934,No vetoes,0.8,0.8,LnL,false,false,false,false
5.8,1.5927541,3158.0066,0.18770787,No vetoes,1.4050462,1.780462,No vetoes,0.8,0.8,LnL,false,false,false,false
6,1.2830519,3158.0066,0.16847297,No vetoes,1.114579,1.4515249,No vetoes,0.8,0.8,LnL,false,false,false,false
6.2,1.5706325,3158.0066,0.18639979,No vetoes,1.3842327,1.7570323,No vetoes,0.8,0.8,LnL,false,false,false,false
6.4,1.5706325,3158.0066,0.18639979,No vetoes,1.3842327,1.7570323,No vetoes,0.8,0.8,LnL,false,false,false,false
6.6,1.4157814,3158.0066,0.17697268,No vetoes,1.2388088,1.5927541,No vetoes,0.8,0.8,LnL,false,false,false,false
6.8,1.0839577,3158.0066,0.15485109,No vetoes,0.92910657,1.2388088,No vetoes,0.8,0.8,LnL,false,false,false,false
