Normalization,peak,μ/μ_max,Timestamp,Type
μ,0.9303151,0.9303151,1.52174052e+09,feCharge
μ,0.00017876157,0.49684293,1.52174052e+09,feFadc
μ,0.24427797,0.92582606,1.52191504e+09,fePixel
μ,0.89272089,0.89272089,1.52191504e+09,feCharge
μ,0.00017486698,0.48601844,1.52191504e+09,feFadc
μ,0.24521056,0.92936063,1.52209364e+09,fePixel
μ,0.88534099,0.88534099,1.52209364e+09,feCharge
μ,0.00017203475,0.47814667,1.52209364e+09,feFadc
μ,0.23640978,0.89600523,1.52241954e+09,fePixel
μ,0.84305549,0.84305549,1.52241954e+09,feCharge
μ,0.00016241947,0.45142231,1.52241954e+09,feFadc
μ,0.23876007,0.90491294,1.52346265e+09,fePixel
μ,0.86367824,0.86367824,1.52346265e+09,feCharge
μ,0.000165768,0.46072911,1.52346265e+09,feFadc
