idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
3,90,25,1540142735,1540148165,90.5,866,1132,6904,9186,0,7.83280512e+06,3373.305,3480.6186,2972.1497,2.2959744,1.2442224,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87036137,0
4,90,25,1540148165,1540153573,90.133333,1133,1400,9206,11503,0,8.18550083e+06,3388.5082,3493.4628,2986.1665,2.3160485,1.3852131,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87446604,0
5,90,25,1540153573,1540158979,90.1,1401,1674,11507,13774,0,7.9411359e+06,3425.3606,3529.921,3005.001,2.2993008,2.0993096,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87998149,0
6,90,25,1540158979,1540164379,90,1675,1921,13793,16069,0,7.64884878e+06,3451.2598,3554.543,3044.9717,2.3002017,1.7259857,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89168648,0
7,90,25,1540164379,1540169785,90.1,1922,2174,16078,18350,0,7.39589659e+06,3429.3453,3528.4506,3024.4484,2.3663896,1.8422356,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88567646,0
8,90,25,1540169785,1540175212,90.45,2175,2438,18377,20665,0,8.3915434e+06,3435.773,3543.2752,3006.4308,2.2575747,1.7767663,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88040022,0
9,90,25,1540175212,1540180640,90.466667,2439,2713,20682,22965,0,7.99554712e+06,3453.8323,3544.7967,3015.9642,2.4627964,1.8382989,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88319195,0
10,90,25,1540180640,1540186045,90.083333,2714,2988,22981,25250,0,8.4012441e+06,3551.9198,3667.2659,3141.0358,2.1075928,2.0032127,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91981781,0
11,90,25,1540186045,1540191456,90.183333,2989,3259,25277,27569,0,8.45855979e+06,3531.6564,3631.4588,3079.1085,2.2984757,1.7136624,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90168307,0
12,90,25,1540191456,1540196862,90.1,3260,3512,27578,29860,0,7.64665686e+06,3533.9043,3633.6602,3101.9807,2.2978177,1.4918822,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90838096,0
