idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
21,90,25,1509498906,1509504384,91.3,5198,5449,47759,50009,0,5.53854459e+06,3778.8283,4412.1085,4374.5394,3.2467722,3.4187749,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
22,90,25,1509504384,1509509841,90.95,5450,5687,50043,52284,0,4.6569107e+06,4113.316,4460.3292,4383.4303,5.1441772,5.412923,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
23,90,25,1509509841,1509515251,90.166667,5688,5937,52309,54520,0,4.74509744e+06,4094.6812,4477.9423,4387.7227,4.7637037,6.0049029,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
24,90,25,1509515251,1509520660,90.15,5938,6184,54544,56782,0,4.57003861e+06,4039.9933,4453.2146,4376.4643,4.5568074,5.0410957,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
25,90,25,1509520660,1509526060,90,6185,6454,56788,59017,0,5.24645658e+06,4071.9695,4449.3372,4373.1063,4.8750916,5.6335161,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
26,90,25,1509526060,1509531476,90.266667,6455,6728,59020,61244,0,5.03950699e+06,4078.729,4436.2632,4361.5491,5.0918477,5.6481854,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
27,90,25,1509531476,1509536876,90,6729,6975,61259,63475,0,4.62615157e+06,4063.4986,4431.9248,4349.9739,4.9955827,5.3064448,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
28,90,25,1509536876,1509542296,90.333333,6976,7250,63482,65725,0,4.83255366e+06,4097.4439,4439.8941,4352.7553,5.2366114,4.9803599,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
29,90,25,1509542296,1509547722,90.433333,7251,7486,65737,67966,0,3.99711229e+06,4042.7661,4391.176,4344.8654,5.2869898,4.7612288,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
30,90,25,1509547722,1509553125,90.05,7487,7739,67979,70200,0,4.24479763e+06,4043.9946,4372.782,4307.66,5.5448936,4.183233,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
31,90,25,1509553125,1509558535,90.166667,7740,7982,70218,72451,0,3.8107731e+06,3991.9071,4324.8173,4248.3926,5.6208362,4.1877885,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
32,90,25,1509558535,1509563948,90.216667,7983,8239,72464,74694,0,4.26491694e+06,4004.4967,4345.6654,4269.9419,5.474971,3.9618969,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
33,90,25,1509563948,1509569362,90.233333,8240,8499,74706,76933,0,4.44210866e+06,3951.9552,4330.0827,4269.7128,5.1311844,5.3525311,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
34,90,25,1509569362,1509574764,90.033333,8500,8765,76944,79199,0,4.46169398e+06,3982.1597,4344.5637,4270.1675,5.2533205,4.3456578,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
35,90,25,1509574764,1509580249,91.416667,8766,9029,79201,81432,0,4.71722732e+06,4004.603,4388.663,4337.3541,4.9424537,5.606056,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
36,90,25,1509580249,1509585665,90.266667,9030,9310,81475,83699,0,5.14373762e+06,3994.9798,4346.7152,4273.3616,5.3586923,5.5966341,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
37,90,25,1509585665,1509591071,90.1,9311,9569,83715,85925,0,4.44018322e+06,3956.9952,4309.4504,4261.5574,5.4439173,6.1264173,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
38,90,25,1509591071,1509596603,92.2,9570,9827,85935,88232,0,4.52779322e+06,3963.1332,4351.7212,4276.2782,4.9820886,5.0204031,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
0,90,25,1509385205,1509390618,90.216667,0,260,15,2242,0,6.17786693e+06,4029.898,4315.2072,4164.8301,4.3056443,4.9734466,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
1,90,25,1509390618,1509396032,90.233333,261,505,2254,4491,0,5.82806624e+06,4065.8676,4317.4844,4163.1772,4.6568452,4.0586967,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
2,90,25,1509396032,1509401435,90.05,506,748,4497,6699,0,6.49641988e+06,4040.9109,4344.3352,4199.656,4.0907436,4.5814058,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
3,90,25,1509401435,1509406837,90.033333,749,1013,6720,8933,0,6.84356653e+06,4094.4326,4392.3917,4216.2928,4.0690684,4.5218878,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
4,90,25,1509406837,1509412272,90.583333,1014,1268,8960,11181,0,6.53698783e+06,4079.5899,4345.7643,4188.3245,4.4498084,4.3767588,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
5,90,25,1509412272,1509417679,90.116667,1269,1526,11199,13414,0,6.53891519e+06,4081.5375,4347.7932,4209.8278,4.4456194,4.8965881,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
6,90,25,1509417679,1509423096,90.283333,1527,1805,13419,15660,0,7.51799177e+06,4108.8308,4399.8987,4280.7714,4.120851,6.110371,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
7,90,25,1509423096,1509428507,90.183333,1806,2076,15671,17892,0,6.57879099e+06,4090.1819,4368.9236,4219.8337,4.2850585,4.8198633,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
8,90,25,1509428507,1509433971,91.066667,2077,2351,17910,20392,0,7.08757629e+06,4092.3481,4378.2914,4208.232,4.2010453,4.2873937,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
9,90,25,1509433971,1509439405,90.566667,2352,2610,20498,23089,0,6.86269191e+06,4060.8284,4380.6016,4243.4093,3.897398,3.0911111,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
10,90,25,1509439405,1509444836,90.516667,2611,2884,23104,25339,0,6.91770018e+06,4162.691,4438.7296,4253.4791,4.2055634,4.4070217,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
11,90,25,1509444836,1509450236,90,2885,3158,25366,27588,0,7.15412988e+06,4196.7921,4451.3891,4271.1797,4.4032848,4.8030146,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
12,90,25,1509450236,1509455638,90.033333,3159,3430,27607,29830,0,8.03315836e+06,4122.1192,4450.0602,4290.4354,3.738878,2.9853843,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
13,90,25,1509455638,1509461059,90.35,3431,3682,29835,32075,0,7.05430284e+06,4181.5778,4473.8465,4308.0889,4.0050151,4.6991662,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
14,90,25,1509461059,1509466468,90.15,3683,3926,32094,34315,0,6.64193673e+06,4207.4134,4496.0469,4317.3776,4.0071575,4.6458653,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
