idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
8,90,25,1510203171,1510208594,90.383333,2043,2309,17863,20074,0,6.57530285e+06,4044.5789,4327.1154,4167.527,4.3137574,4.8154861,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84039626,0
9,90,25,1510208594,1510213996,90.033333,2310,2565,20103,22317,0,6.11839002e+06,4044.3673,4316.2477,4172.9401,4.4391579,4.0443678,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84148782,0
10,90,25,1510213996,1510219398,90.033333,2566,2829,22334,24551,0,6.15576241e+06,4052.5003,4306.8509,4162.2471,4.6446344,3.4243598,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.83933154,0
11,90,25,1510219398,1510224811,90.216667,2830,3108,24559,26791,0,7.45146301e+06,4017.7734,4299.3156,4133.623,4.3687904,5.4901139,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.83355941,0
12,90,25,1510224811,1510230280,91.15,3109,3361,26797,29019,0,6.91887406e+06,4075.7821,4348.3069,4198.1164,4.379991,5.6094308,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84656471,0
13,90,25,1510230280,1510235685,90.083333,3362,3614,29046,31260,0,5.88416982e+06,4085.7557,4338.6511,4171.8905,4.6056383,4.6426155,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84127617,0
14,90,25,1510235685,1510241092,90.116667,3615,3865,31267,33496,0,6.25947753e+06,4094.0341,4355.6602,4198.9966,4.4816145,5.1530502,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84674222,0
15,90,25,1510241092,1510246498,90.1,3866,4132,33499,35740,0,6.90921843e+06,3988.1194,4321.6281,4230.9461,3.8676037,3.7223391,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85318495,0
16,90,25,1510246498,1510250453,65.916667,4133,4341,35745,37387,0,4.87111251e+06,4026.2089,4339.4857,4215.2169,4.0110854,2.2374852,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85001309,0
0,90,25,1510159797,1510165207,90.166667,0,250,3,2208,0,6.90335753e+06,3349.7408,3485.8023,3289.3416,2.5651553,2.6673733,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66330714,0
1,90,25,1510165207,1510170611,90.066667,251,544,2218,4424,0,8.0787719e+06,3370.173,3524.8899,3315.8622,2.351094,2.7072081,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.6686551,0
2,90,25,1510170611,1510176012,90.016667,545,831,4434,6660,0,7.5997651e+06,3346.1328,3484.6715,3279.3834,2.5394482,1.9973693,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66129903,0
3,90,25,1510176012,1510181425,90.216667,832,1131,6665,8886,0,8.38214102e+06,3381.2941,3519.4425,3318.2132,2.518251,2.7848945,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66912919,0
4,90,25,1510181425,1510186843,90.3,1132,1400,8897,11117,0,6.74961328e+06,3438.2955,3550.0965,3333.2927,2.8048043,3.8320457,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.67217003,0
5,90,25,1510186843,1510192245,90.033333,1401,1690,11129,13348,0,7.84044154e+06,3399.9124,3525.941,3293.3904,2.6475155,3.4326245,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66412359,0
6,90,25,1510192245,1510197672,90.45,1691,1966,13350,15572,0,7.43048178e+06,3375.4677,3515.5837,3328.8931,2.5004608,3.2060176,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.67128282,0
7,90,25,1510197672,1510203103,90.516667,1967,2250,15591,17804,0,7.92464855e+06,3349.5139,3504.3955,3301.988,2.3632578,3.0912809,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66585732,0
8,90,25,1510203103,1510208504,90.016667,2251,2548,17836,20064,0,8.1491669e+06,3325.6232,3474.2683,3286.2698,2.4437406,2.6458369,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.6626877,0
9,90,25,1510208504,1510213927,90.383333,2549,2808,20067,22293,0,6.87832165e+06,3387.5477,3528.5497,3312.6669,2.4821301,2.4671699,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66801076,0
10,90,25,1510213927,1510219364,90.616667,2809,3093,22305,24522,0,7.5414468e+06,3407.3046,3531.6762,3323.455,2.6625589,4.0171263,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.67018622,0
11,90,25,1510219364,1510224789,90.416667,3094,3407,24545,26775,0,8.09180809e+06,3347.6902,3484.9381,3293.8845,2.5530184,3.8847501,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66422323,0
12,90,25,1510224789,1510230189,90,3408,3716,26787,29010,0,7.42434641e+06,3351.7334,3492.9372,3307.9528,2.505469,2.6527365,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66706014,0
13,90,25,1510230189,1510235590,90.016667,3717,3987,29011,31225,0,7.0200549e+06,3368.1908,3499.6543,3300.0085,2.605377,3.399913,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.66545815,0
