timestamp,RunPeriod,Interval,Median energy [keV]
1.5217e+09,17/02/2018,45,3.051
1.5217e+09,17/02/2018,45,2.7439
1.5217e+09,17/02/2018,45,2.7564
1.5217e+09,17/02/2018,45,3.2038
1.5217e+09,17/02/2018,45,2.9651
1.5217e+09,17/02/2018,45,2.9432
1.5217e+09,17/02/2018,45,3.1213
1.5217e+09,17/02/2018,45,3.1273
1.5217e+09,17/02/2018,45,4.4459
1.5217e+09,17/02/2018,45,3.1592
1.5218e+09,17/02/2018,45,3.0148
1.5218e+09,17/02/2018,45,3.1774
1.5218e+09,17/02/2018,45,3.2532
1.5218e+09,17/02/2018,45,3.2625
1.5218e+09,17/02/2018,45,3.199
1.5218e+09,17/02/2018,45,2.9768
1.5218e+09,17/02/2018,45,3.0879
1.5218e+09,17/02/2018,45,2.8557
1.5218e+09,17/02/2018,45,3.0239
1.5218e+09,17/02/2018,45,3.1897
1.5218e+09,17/02/2018,45,3.1485
1.5218e+09,17/02/2018,45,3.2537
1.5218e+09,17/02/2018,45,3.0262
1.5218e+09,17/02/2018,45,2.809
1.5218e+09,17/02/2018,45,3.1153
1.5218e+09,17/02/2018,45,3.1669
1.5218e+09,17/02/2018,45,2.868
1.5218e+09,17/02/2018,45,3.4577
1.5218e+09,17/02/2018,45,2.9558
1.5218e+09,17/02/2018,45,2.9709
1.5218e+09,17/02/2018,45,3.028
1.5218e+09,17/02/2018,45,3.0351
1.5218e+09,17/02/2018,45,2.963
1.5218e+09,17/02/2018,45,2.7084
1.5218e+09,17/02/2018,45,3.0919
1.5218e+09,17/02/2018,45,3.0613
1.5218e+09,17/02/2018,45,2.9145
1.5218e+09,17/02/2018,45,3.0975
1.5218e+09,17/02/2018,45,3.1268
1.5218e+09,17/02/2018,45,2.8274
1.5218e+09,17/02/2018,45,3.1162
1.5218e+09,17/02/2018,45,2.9499
1.5218e+09,17/02/2018,45,2.688
1.5218e+09,17/02/2018,45,3.1688
1.5218e+09,17/02/2018,45,2.9128
1.5218e+09,17/02/2018,45,2.9949
1.5218e+09,17/02/2018,45,2.8223
1.5219e+09,17/02/2018,45,2.816
1.5219e+09,17/02/2018,45,3.2204
1.5219e+09,17/02/2018,45,2.9319
1.5219e+09,17/02/2018,45,3.1344
1.5219e+09,17/02/2018,45,3.1556
1.5219e+09,17/02/2018,45,2.8305
1.5219e+09,17/02/2018,45,3.0587
1.5219e+09,17/02/2018,45,3.3038
1.5219e+09,17/02/2018,45,3.1301
1.5219e+09,17/02/2018,45,2.7706
1.5219e+09,17/02/2018,45,2.9609
1.5219e+09,17/02/2018,45,3.1113
1.5219e+09,17/02/2018,45,3.1893
1.5219e+09,17/02/2018,45,2.7688
1.5219e+09,17/02/2018,45,3.2043
1.5219e+09,17/02/2018,45,2.9807
1.5219e+09,17/02/2018,45,3.0243
1.5219e+09,17/02/2018,45,3.3716
1.5219e+09,17/02/2018,45,2.9071
1.5219e+09,17/02/2018,45,3.0346
1.5219e+09,17/02/2018,45,3.0111
1.5219e+09,17/02/2018,45,3.003
1.5219e+09,17/02/2018,45,4.4483
1.5219e+09,17/02/2018,45,3.0855
1.5219e+09,17/02/2018,45,3.0515
1.5219e+09,17/02/2018,45,3.0253
1.5219e+09,17/02/2018,45,3.0849
1.5219e+09,17/02/2018,45,2.684
1.5219e+09,17/02/2018,45,3.1451
1.5219e+09,17/02/2018,45,2.8075
1.522e+09,17/02/2018,45,2.9478
1.522e+09,17/02/2018,45,2.7062
1.522e+09,17/02/2018,45,2.9257
1.522e+09,17/02/2018,45,3.3496
1.522e+09,17/02/2018,45,3.1891
1.522e+09,17/02/2018,45,3.1134
1.522e+09,17/02/2018,45,2.694
1.522e+09,17/02/2018,45,2.926
1.522e+09,17/02/2018,45,3.1087
1.522e+09,17/02/2018,45,3.0847
1.522e+09,17/02/2018,45,3.1982
1.522e+09,17/02/2018,45,2.8862
1.522e+09,17/02/2018,45,2.8758
1.522e+09,17/02/2018,45,3.0557
1.522e+09,17/02/2018,45,3.1903
1.522e+09,17/02/2018,45,2.7941
1.522e+09,17/02/2018,45,2.8567
1.522e+09,17/02/2018,45,3.1499
1.522e+09,17/02/2018,45,2.9825
1.522e+09,17/02/2018,45,3.2172
1.522e+09,17/02/2018,45,2.959
1.522e+09,17/02/2018,45,2.917
1.522e+09,17/02/2018,45,2.9015
1.522e+09,17/02/2018,45,2.7974
1.522e+09,17/02/2018,45,3.1049
1.522e+09,17/02/2018,45,3.705
1.522e+09,17/02/2018,45,2.9928
1.522e+09,17/02/2018,45,3.0275
1.522e+09,17/02/2018,45,2.9731
1.522e+09,17/02/2018,45,2.8837
1.522e+09,17/02/2018,45,3.0015
1.522e+09,17/02/2018,45,2.8742
1.522e+09,17/02/2018,45,2.956
1.522e+09,17/02/2018,45,3.36
1.522e+09,17/02/2018,45,3.0549
1.522e+09,17/02/2018,45,3.3359
1.522e+09,17/02/2018,45,3.0601
1.5221e+09,17/02/2018,45,3.1707
1.5221e+09,17/02/2018,45,3.1585
1.5221e+09,17/02/2018,45,3.0121
1.5221e+09,17/02/2018,45,3.1983
1.5221e+09,17/02/2018,45,2.8173
1.5221e+09,17/02/2018,45,2.6838
1.5221e+09,17/02/2018,45,3.0772
1.5221e+09,17/02/2018,45,2.9878
1.5221e+09,17/02/2018,45,3.2735
1.5221e+09,17/02/2018,45,2.8902
1.5221e+09,17/02/2018,45,2.8293
1.5221e+09,17/02/2018,45,2.8292
1.5221e+09,17/02/2018,45,2.9799
1.5221e+09,17/02/2018,45,2.8008
1.5221e+09,17/02/2018,45,3.0924
1.5221e+09,17/02/2018,45,2.975
1.5221e+09,17/02/2018,45,3.1501
1.5221e+09,17/02/2018,45,2.797
1.5221e+09,17/02/2018,45,3.0122
1.5221e+09,17/02/2018,45,3.1241
1.5221e+09,17/02/2018,45,2.8797
1.5221e+09,17/02/2018,45,2.8106
1.5221e+09,17/02/2018,45,2.9127
1.5221e+09,17/02/2018,45,3.072
1.5221e+09,17/02/2018,45,2.9529
1.5221e+09,17/02/2018,45,3.0111
