Median energy [keV],Density,RunPeriod,Interval
2.5545546,4.6703414,17/02/2018,30
2.5565566,4.8151064,17/02/2018,30
2.5585586,4.9627421,17/02/2018,30
2.5605606,5.1131136,17/02/2018,30
2.5625626,5.2660706,17/02/2018,30
2.5645646,5.4214481,17/02/2018,30
2.5665666,5.5790668,17/02/2018,30
2.5685686,5.7387342,17/02/2018,30
2.5705706,5.9002457,17/02/2018,30
2.5725726,6.0633856,17/02/2018,30
2.5745746,6.2279288,17/02/2018,30
2.5765766,6.393642,17/02/2018,30
2.5785786,6.5602858,17/02/2018,30
2.5805806,6.7276164,17/02/2018,30
2.5825826,6.8953872,17/02/2018,30
2.5845846,7.0633516,17/02/2018,30
2.5865866,7.2312641,17/02/2018,30
2.5885886,7.3988834,17/02/2018,30
2.5905906,7.565974,17/02/2018,30
2.5925926,7.7323084,17/02/2018,30
2.5945946,7.8976695,17/02/2018,30
2.5965966,8.0618526,17/02/2018,30
2.5985986,8.2246672,17/02/2018,30
2.6006006,8.3859393,17/02/2018,30
2.6026026,8.5455128,17/02/2018,30
2.6046046,8.7032517,17/02/2018,30
2.6066066,8.859041,17/02/2018,30
2.6086086,9.0127885,17/02/2018,30
2.6106106,9.1644258,17/02/2018,30
2.6126126,9.3139093,17/02/2018,30
2.6146146,9.461221,17/02/2018,30
2.6166166,9.6063688,17/02/2018,30
2.6186186,9.7493872,17/02/2018,30
2.6206206,9.8903371,17/02/2018,30
2.6226226,10.029306,17/02/2018,30
2.6246246,10.166407,17/02/2018,30
2.6266266,10.30178,17/02/2018,30
2.6286286,10.435589,17/02/2018,30
2.6306306,10.568022,17/02/2018,30
2.6326326,10.69929,17/02/2018,30
2.6346346,10.829627,17/02/2018,30
2.6366366,10.959286,17/02/2018,30
2.6386386,11.088539,17/02/2018,30
2.6406406,11.217678,17/02/2018,30
2.6426426,11.347008,17/02/2018,30
2.6446446,11.47685,17/02/2018,30
2.6466466,11.607536,17/02/2018,30
2.6486486,11.73941,17/02/2018,30
2.6506507,11.872823,17/02/2018,30
2.6526527,12.008136,17/02/2018,30
2.6546547,12.145711,17/02/2018,30
2.6566567,12.285916,17/02/2018,30
2.6586587,12.429118,17/02/2018,30
2.6606607,12.575685,17/02/2018,30
2.6626627,12.72598,17/02/2018,30
2.6646647,12.880365,17/02/2018,30
2.6666667,13.03919,17/02/2018,30
2.6686687,13.202801,17/02/2018,30
2.6706707,13.371531,17/02/2018,30
2.6726727,13.5457,17/02/2018,30
2.6746747,13.725615,17/02/2018,30
2.6766767,13.911566,17/02/2018,30
2.6786787,14.103822,17/02/2018,30
2.6806807,14.302634,17/02/2018,30
2.6826827,14.508229,17/02/2018,30
2.6846847,14.720811,17/02/2018,30
2.6866867,14.940554,17/02/2018,30
2.6886887,15.167608,17/02/2018,30
