Median energy [keV],Density,RunPeriod,Interval
2.8848849,48.600996,30/10/2017,30
2.8868869,48.394097,30/10/2017,30
2.8888889,48.189952,30/10/2017,30
2.8908909,47.980732,30/10/2017,30
2.8928929,47.762992,30/10/2017,30
2.8948949,47.546645,30/10/2017,30
2.8968969,47.330502,30/10/2017,30
2.8988989,47.113854,30/10/2017,30
2.9009009,46.890969,30/10/2017,30
2.9029029,46.670545,30/10/2017,30
2.9049049,46.453212,30/10/2017,30
2.9069069,46.232409,30/10/2017,30
2.9089089,46.015407,30/10/2017,30
2.9109109,45.801589,30/10/2017,30
2.9129129,45.585466,30/10/2017,30
2.9149149,45.37258,30/10/2017,30
2.9169169,45.168076,30/10/2017,30
2.9189189,44.962005,30/10/2017,30
2.9209209,44.760606,30/10/2017,30
2.9229229,44.56538,30/10/2017,30
2.9249249,44.370696,30/10/2017,30
2.9269269,44.190148,30/10/2017,30
2.9289289,44.007362,30/10/2017,30
2.9309309,43.825154,30/10/2017,30
2.9329329,43.650856,30/10/2017,30
2.9349349,43.478079,30/10/2017,30
2.9369369,43.317988,30/10/2017,30
2.9389389,43.159409,30/10/2017,30
2.9409409,43.000265,30/10/2017,30
2.9429429,42.842098,30/10/2017,30
2.9449449,42.690519,30/10/2017,30
2.9469469,42.540759,30/10/2017,30
2.9489489,42.396159,30/10/2017,30
2.950951,42.250279,30/10/2017,30
2.952953,42.110817,30/10/2017,30
2.954955,41.965744,30/10/2017,30
2.956957,41.827339,30/10/2017,30
2.958959,41.687171,30/10/2017,30
2.960961,41.546806,30/10/2017,30
2.962963,41.407142,30/10/2017,30
2.964965,41.26374,30/10/2017,30
2.966967,41.11828,30/10/2017,30
2.968969,40.974091,30/10/2017,30
2.970971,40.82623,30/10/2017,30
2.972973,40.673725,30/10/2017,30
2.974975,40.516202,30/10/2017,30
2.976977,40.352617,30/10/2017,30
2.978979,40.184918,30/10/2017,30
2.980981,40.012815,30/10/2017,30
2.982983,39.834777,30/10/2017,30
2.984985,39.65184,30/10/2017,30
2.986987,39.466087,30/10/2017,30
2.988989,39.27169,30/10/2017,30
2.990991,39.063703,30/10/2017,30
2.992993,38.84905,30/10/2017,30
2.994995,38.630322,30/10/2017,30
2.996997,38.404984,30/10/2017,30
2.998999,38.168363,30/10/2017,30
3.001001,37.927386,30/10/2017,30
3.003003,37.686489,30/10/2017,30
3.005005,37.430779,30/10/2017,30
3.007007,37.166152,30/10/2017,30
3.009009,36.891552,30/10/2017,30
3.011011,36.609561,30/10/2017,30
3.013013,36.319044,30/10/2017,30
3.015015,36.026606,30/10/2017,30
3.017017,35.724157,30/10/2017,30
3.019019,35.421114,30/10/2017,30
3.021021,35.104883,30/10/2017,30
3.023023,34.78423,30/10/2017,30
3.025025,34.466455,30/10/2017,30
3.027027,34.146665,30/10/2017,30
3.029029,33.820378,30/10/2017,30
3.031031,33.484883,30/10/2017,30
3.033033,33.150499,30/10/2017,30
3.035035,32.819218,30/10/2017,30
3.037037,32.484977,30/10/2017,30
3.039039,32.145577,30/10/2017,30
3.041041,31.807141,30/10/2017,30
3.043043,31.467711,30/10/2017,30
3.045045,31.131731,30/10/2017,30
3.047047,30.799792,30/10/2017,30
3.049049,30.467939,30/10/2017,30
3.0510511,30.137547,30/10/2017,30
3.0530531,29.808834,30/10/2017,30
3.0550551,29.484512,30/10/2017,30
3.0570571,29.164074,30/10/2017,30
3.0590591,28.848786,30/10/2017,30
3.0610611,28.535613,30/10/2017,30
3.0630631,28.229499,30/10/2017,30
3.0650651,27.928565,30/10/2017,30
3.0670671,27.631751,30/10/2017,30
3.0690691,27.337396,30/10/2017,30
3.0710711,27.04932,30/10/2017,30
3.0730731,26.767635,30/10/2017,30
3.0750751,26.48979,30/10/2017,30
3.0770771,26.218361,30/10/2017,30
3.0790791,25.95445,30/10/2017,30
3.0810811,25.694812,30/10/2017,30
3.0830831,25.438733,30/10/2017,30
3.0850851,25.189997,30/10/2017,30
