fractionInTransverseRms,run
0.33231707,319
0.34113712,319
0.36131387,319
0.32706767,319
0.34519573,319
0.34494774,319
0.346875,319
0.37003058,319
0.36336336,319
0.36238532,319
0.30169492,319
0.37003058,319
0.29830508,319
0.34673367,319
0.4054878,319
0.32087227,319
0.36565097,319
0.33865815,319
0.38535032,319
0.36569579,319
0.33085502,319
0.38834951,319
0.33962264,319
0.34939759,319
0.37241379,319
0.36363636,319
0.31746032,319
0.35962145,319
0.3083004,319
0.32752613,319
0.35258359,319
0.4,319
0.34492754,319
0.35759494,319
0.33030303,319
0.33009709,319
0.37541528,319
0.38509317,319
0.37048193,319
