fractionInTransverseRms,run
0.35377358,315
0.35714286,315
0.33474576,315
0.40506329,315
0.30487805,315
0.34693878,315
0.35426009,315
0.30733945,315
0.33838384,315
0.33333333,315
0.33898305,315
0.3487395,315
0.39393939,315
0.38723404,315
0.43434343,315
0.33663366,315
0.32258065,315
0.35930736,315
0.39285714,315
0.43303571,315
0.40322581,315
0.37383178,315
0.38539043,315
0.33175355,315
0.34558824,315
0.32793522,315
0.33746898,315
0.4109589,315
0.33928571,315
0.32954545,315
0.38396624,315
0.32067511,315
0.33183857,315
0.33905579,315
0.3362069,315
0.37280702,315
0.35930736,315
0.38613861,315
0.34677419,315
0.36842105,315
0.34090909,315
0.3438914,315
0.30188679,315
0.37179487,315
0.34334764,315
0.34651163,315
0.37430168,315
0.36514523,315
0.32061069,315
0.34893617,315
0.29385965,315
0.37554585,315
0.35885167,315
0.36734694,315
0.31794872,315
0.39189189,315
0.39378238,315
0.33333333,315
0.37696335,315
0.21621622,315
0.29831933,315
0.4212963,315
0.32377049,315
0.36563877,315
0.40343348,315
0.37912088,315
0.34599156,315
0.39247312,315
0.30952381,315
0.36419753,315
0.33802817,315
0.32272727,315
0.34408602,315
0.30232558,315
0.3652968,315
0.32272727,315
0.3236246,315
0.28225806,315
0.27884615,315
0.34545455,315
0.32478632,315
0.4109589,315
0.36915888,315
0.41245136,315
0.38297872,315
0.32575758,315
0.41203704,315
0.40751445,315
0.27830189,315
