Type,charge / e-,counts,FitRange
Fit,11178.965,1.1567172,true
Fit,11214.183,1.1156441,true
Fit,11249.401,1.076004,true
Fit,11284.619,1.0377479,true
Fit,11319.837,1.0008286,true
Fit,11355.056,0.96520031,true
Fit,11390.274,0.93081884,true
Fit,11425.492,0.89764148,true
Fit,11460.71,0.86562692,true
Fit,11495.928,0.83473524,true
Fit,11531.146,0.80492787,true
Fit,11566.365,0.7761675,true
Fit,11601.583,0.74841809,true
Fit,11636.801,0.72164482,true
Fit,11672.019,0.695814,true
Fit,11707.237,0.67089313,true
Fit,11742.455,0.64685075,true
Fit,11777.674,0.62365651,true
Fit,11812.892,0.60128103,true
Fit,11848.11,0.57969597,true
Fit,11883.328,0.55887393,true
Fit,11918.546,0.53878844,true
Fit,11953.764,0.51941391,true
Fit,11988.983,0.50072565,true
Fit,12024.201,0.48269978,true
Fit,12059.419,0.46531326,true
Fit,12094.637,0.4485438,true
Fit,12129.855,0.4323699,true
Fit,12165.073,0.41677078,true
Fit,12200.292,0.40172636,true
Fit,12235.51,0.38721726,true
Fit,12270.728,0.37322477,true
Fit,12305.946,0.35973079,true
Fit,12341.164,0.34671787,true
Fit,12376.382,0.33416915,true
Fit,12411.601,0.32206835,true
Fit,12446.819,0.31039974,true
Fit,12482.037,0.29914813,true
Fit,12517.255,0.28829887,true
Fit,12552.473,0.2778378,true
Fit,12587.692,0.26775126,true
Fit,12622.91,0.25802605,true
Fit,12658.128,0.24864943,true
Fit,12693.346,0.23960911,true
Fit,12728.564,0.2308932,true
Fit,12763.782,0.22249025,true
Fit,12799.001,0.21438919,true
Fit,12834.219,0.20657935,true
Fit,12869.437,0.1990504,true
Fit,12904.655,0.19179241,true
Fit,12939.873,0.18479576,true
Fit,12975.091,0.17805119,true
Fit,13010.31,0.17154974,true
Fit,13045.528,0.16528278,true
Fit,13080.746,0.15924198,true
Fit,13115.964,0.15341928,true
Fit,13151.182,0.14780694,true
Fit,13186.4,0.14239746,true
Fit,13221.619,0.1371836,true
Fit,13256.837,0.1321584,true
Fit,13292.055,0.12731512,true
Fit,13327.273,0.12264727,true
Fit,13362.491,0.11814857,true
Fit,13397.709,0.113813,true
Fit,13432.928,0.1096347,true
Fit,13468.146,0.10560805,true
Fit,13503.364,0.10172763,true
Fit,13538.582,0.09798818,true
Fit,13573.8,0.094384662,true
Fit,13609.018,0.090912193,true
Fit,13644.237,0.087566071,true
Fit,13679.455,0.084341759,true
Fit,13714.673,0.081234877,true
Fit,13749.891,0.078241205,true
Fit,13785.109,0.075356669,true
Fit,13820.327,0.07257734,true
Fit,13855.546,0.069899431,true
Fit,13890.764,0.067319285,true
Fit,13925.982,0.064833377,true
Fit,13961.2,0.062438308,true
Fit,13996.418,0.0601308,true
Fit,14031.636,0.057907689,true
Fit,14066.855,0.055765926,true
Fit,14102.073,0.053702569,true
Fit,14137.291,0.051714784,true
Fit,14172.509,0.049799834,true
Fit,14207.727,0.047955081,true
Fit,14242.945,0.046177984,true
Fit,14278.164,0.044466089,true
Fit,14313.382,0.042817031,true
Fit,14348.6,0.041228531,true
Fit,14383.818,0.039698389,true
Fit,14419.036,0.038224487,true
Fit,14454.254,0.03680478,true
Fit,14489.473,0.035437297,true
Fit,14524.691,0.03412014,true
Fit,14559.909,0.032851476,true
Fit,14595.127,0.03162954,true
Fit,14630.345,0.030452629,true
Fit,14665.563,0.029319102,true
Fit,14700.782,0.028227377,true
Fit,14736,0.027175929,true
Fit,14771.218,0.026163288,true
Fit,14806.436,0.025188037,true
Fit,14841.654,0.024248809,true
Fit,14876.872,0.023344289,true
Fit,14912.091,0.022473206,true
Fit,14947.309,0.021634338,true
Fit,14982.527,0.020826505,true
Fit,15017.745,0.020048571,true
Fit,15052.963,0.01929944,true
Fit,15088.181,0.018578058,true
Fit,15123.4,0.017883405,true
Fit,15158.618,0.017214502,true
Fit,15193.836,0.016570404,true
Fit,15229.054,0.015950199,true
Fit,15264.272,0.015353011,true
Fit,15299.49,0.014777993,true
Fit,15334.709,0.014224331,true
Fit,15369.927,0.013691238,true
Fit,15405.145,0.013177958,true
Fit,15440.363,0.012683762,true
Fit,15475.581,0.012207947,true
Fit,15510.799,0.011749835,true
Fit,15546.018,0.011308774,true
Fit,15581.236,0.010884135,true
Fit,15616.454,0.010475313,true
Fit,15651.672,0.010081724,true
Fit,15686.89,0.0097028048,true
Fit,15722.108,0.0093380145,true
Fit,15757.327,0.0089868308,true
Fit,15792.545,0.0086487506,true
Fit,15827.763,0.0083232896,true
Fit,15862.981,0.0080099807,true
Fit,15898.199,0.0077083743,true
Fit,15933.417,0.0074180372,true
Fit,15968.636,0.007138552,true
Fit,16003.854,0.0068695166,true
Fit,16039.072,0.0066105436,true
Fit,16074.29,0.00636126,true
Fit,16109.508,0.0061213064,true
Fit,16144.726,0.0058903365,true
Fit,16179.945,0.0056680168,true
Fit,16215.163,0.0054540262,true
Fit,16250.381,0.0052480551,true
Fit,16285.599,0.0050498056,true
Fit,16320.817,0.0048589906,true
Fit,16356.035,0.0046753336,true
Fit,16391.254,0.0044985683,true
Fit,16426.472,0.0043284381,true
Fit,16461.69,0.0041646961,true
Fit,16496.908,0.0040071044,true
Fit,16532.126,0.0038554337,true
Fit,16567.344,0.0037094634,true
Fit,16602.563,0.003568981,true
Fit,16637.781,0.0034337817,true
Fit,16672.999,0.0033036685,true
Fit,16708.217,0.0031784516,true
Fit,16743.435,0.003057948,true
Fit,16778.653,0.0029419818,true
Fit,16813.872,0.0028303834,true
Fit,16849.09,0.0027229896,true
Fit,16884.308,0.0026196433,true
Fit,16919.526,0.0025201929,true
Fit,16954.744,0.0024244928,true
Fit,16989.962,0.0023324026,true
Fit,17025.181,0.0022437871,true
Fit,17060.399,0.0021585162,true
Fit,17095.617,0.0020764647,true
Fit,17130.835,0.0019975118,true
Fit,17166.053,0.0019215415,true
Fit,17201.271,0.0018484418,true
Fit,17236.49,0.0017781051,true
Fit,17271.708,0.0017104277,true
Fit,17306.926,0.0016453097,true
Fit,17342.144,0.0015826552,true
Fit,17377.362,0.0015223715,true
Fit,17412.58,0.0014643696,true
Fit,17447.799,0.0014085637,true
Fit,17483.017,0.0013548713,true
Fit,17518.235,0.0013032129,true
Fit,17553.453,0.0012535119,true
Fit,17588.671,0.0012056948,true
Fit,17623.889,0.0011596905,true
Fit,17659.108,0.0011154309,true
Fit,17694.326,0.0010728502,true
Fit,17729.544,0.0010318852,true
Fit,17764.762,0.00099247495,true
Fit,17799.98,0.00095456089,true
Fit,17835.198,0.00091808657,true
Fit,17870.417,0.00088299769,true
Fit,17905.635,0.00084924197,true
Fit,17940.853,0.0008167691,true
Fit,17976.071,0.00078553065,true
Fit,18011.289,0.00075547999,true
Fit,18046.507,0.00072657226,true
Fit,18081.726,0.00069876427,true
Fit,18116.944,0.00067201445,true
Fit,18152.162,0.0006462828,true
Fit,18187.38,0.0006215308,true
Fit,18222.598,0.0005977214,true
Fit,18257.816,0.00057481893,true
Fit,18293.035,0.00055278906,true
Fit,18328.253,0.00053159875,true
Fit,18363.471,0.00051121621,true
Fit,18398.689,0.00049161083,true
Fit,18433.907,0.00047275318,true
Fit,18469.125,0.00045461489,true
Fit,18504.344,0.00043716871,true
Fit,18539.562,0.00042038839,true
Fit,18574.78,0.00040424866,true
Fit,18609.998,0.00038872522,true
Fit,18645.216,0.00037379468,true
Fit,18680.434,0.00035943453,true
Fit,18715.653,0.0003456231,true
Fit,18750.871,0.00033233956,true
Fit,18786.089,0.00031956385,true
Fit,18821.307,0.00030727667,true
Fit,18856.525,0.00029545944,true
Fit,18891.743,0.0002840943,true
Fit,18926.962,0.00027316405,true
Fit,18962.18,0.00026265216,true
Fit,18997.398,0.00025254269,true
Fit,19032.616,0.00024282032,true
Fit,19067.834,0.00023347034,true
Fit,19103.053,0.00022447854,true
Fit,19138.271,0.00021583128,true
Fit,19173.489,0.00020751545,true
Fit,19208.707,0.0001995184,true
Fit,19243.925,0.00019182799,true
Fit,19279.143,0.00018443252,true
Fit,19314.362,0.00017732075,true
Fit,19349.58,0.00017048185,true
Fit,19384.798,0.00016390541,true
Fit,19420.016,0.0001575814,true
Fit,19455.234,0.00015150021,true
Fit,19490.452,0.00014565254,true
Fit,19525.671,0.00014002949,true
Fit,19560.889,0.00013462247,true
Fit,19596.107,0.00012942323,true
Fit,19631.325,0.00012442382,true
Fit,19666.543,0.00011961661,true
Fit,19701.761,0.00011499424,true
Fit,19736.98,0.00011054965,true
Fit,19772.198,0.00010627603,true
Fit,19807.416,0.00010216684,true
Fit,19842.634,9.8215792e-05,true
Fit,19877.852,9.4416825e-05,true
Fit,19913.07,9.0764117e-05,true
Fit,19948.289,8.7252067e-05,true
Fit,19983.507,8.3875285e-05,true
Fit,20018.725,8.0628589e-05,true
Fit,20053.943,7.7506991e-05,true
Fit,20089.161,7.4505698e-05,true
Fit,20124.379,7.1620094e-05,true
Fit,20159.598,6.8845744e-05,true
Fit,20194.816,6.6178379e-05,true
Fit,20230.034,6.3613895e-05,true
Fit,20265.252,6.1148342e-05,true
Fit,20300.47,5.8777923e-05,true
Fit,20335.688,5.6498985e-05,true
Fit,20370.907,5.4308016e-05,true
Fit,20406.125,5.2201635e-05,true
Fit,20441.343,5.0176593e-05,true
Fit,20476.561,4.8229764e-05,true
Fit,20511.779,4.6358143e-05,true
Fit,20546.997,4.4558836e-05,true
Fit,20582.216,4.2829065e-05,true
Fit,20617.434,4.1166154e-05,true
Fit,20652.652,3.9567531e-05,true
Fit,20687.87,3.8030722e-05,true
Fit,20723.088,3.655335e-05,true
Fit,20758.306,3.5133124e-05,true
Fit,20793.525,3.3767847e-05,true
Fit,20828.743,3.24554e-05,true
Fit,20863.961,3.119375e-05,true
Fit,20899.179,2.998094e-05,true
Fit,20934.397,2.8815087e-05,true
Fit,20969.615,2.7694382e-05,true
Fit,21004.834,2.6617084e-05,true
Fit,21040.052,2.558152e-05,true
Fit,21075.27,2.458608e-05,true
Fit,21110.488,2.3629217e-05,true
Fit,21145.706,2.2709443e-05,true
Fit,21180.924,2.1825325e-05,true
Fit,21216.143,2.0975488e-05,true
Fit,21251.361,2.015861e-05,true
Fit,21286.579,1.9373416e-05,true
Fit,21321.797,1.8618684e-05,true
Fit,21357.015,1.7893237e-05,true
Fit,21392.233,1.7195943e-05,true
Fit,21427.452,1.6525715e-05,true
Fit,21462.67,1.5881507e-05,true
Fit,21497.888,1.5262314e-05,true
Fit,21533.106,1.4667166e-05,true
Fit,21568.324,1.4095136e-05,true
Fit,21603.542,1.3545329e-05,true
Fit,21638.761,1.3016885e-05,true
Fit,21673.979,1.2508978e-05,true
Fit,21709.197,1.2020812e-05,true
Fit,21744.415,1.1551625e-05,true
Fit,21779.633,1.110068e-05,true
Fit,21814.851,1.0667272e-05,true
Fit,21850.07,1.0250722e-05,true
Fit,21885.288,9.85037639e-06,true
Fit,21920.506,9.46560753e-06,true
Fit,21955.724,9.0958119e-06,true
Fit,21990.942,8.7404092e-06,true
Fit,22026.16,8.39884152e-06,true
Fit,22061.379,8.07057249e-06,true
Fit,22096.597,7.75508642e-06,true
Fit,22131.815,7.45188756e-06,true
Fit,22167.033,7.16049926e-06,true
Fit,22202.251,6.88046333e-06,true
Fit,22237.469,6.61133923e-06,true
Fit,22272.688,6.35270347e-06,true
Fit,22307.906,6.10414891e-06,true
Fit,22343.124,5.86528416e-06,true
Fit,22378.342,5.63573294e-06,true
Fit,22413.56,5.41513353e-06,true
Fit,22448.778,5.20313821e-06,true
Fit,22483.997,4.99941269e-06,true
Fit,22519.215,4.80363562e-06,true
Fit,22554.433,4.61549809e-06,true
Fit,22589.651,4.43470313e-06,true
Fit,22624.869,4.26096528e-06,true
Fit,22660.087,4.09401013e-06,true
Fit,22695.306,3.93357388e-06,true
Fit,22730.524,3.77940297e-06,true
Fit,22765.742,3.63125365e-06,true
Fit,22800.96,3.48889162e-06,true
Fit,22836.178,3.35209164e-06,true
Fit,22871.396,3.22063722e-06,true
Fit,22906.615,3.09432026e-06,true
Fit,22941.833,2.97294072e-06,true
Fit,22977.051,2.85630633e-06,true
Fit,23012.269,2.74423226e-06,true
Fit,23047.487,2.63654086e-06,true
Fit,23082.705,2.53306138e-06,true
Fit,23117.924,2.43362969e-06,true
Fit,23153.142,2.33808802e-06,true
Fit,23188.36,2.24628473e-06,true
Fit,23223.578,2.15807409e-06,true
Fit,23258.796,2.07331599e-06,true
Fit,23294.014,1.9918758e-06,true
Fit,23329.233,1.91362409e-06,true
Fit,23364.451,1.83843647e-06,true
Fit,23399.669,1.7661934e-06,true
Fit,23434.887,1.69677996e-06,true
Fit,23470.105,1.63008571e-06,true
Fit,23505.323,1.56600451e-06,true
Fit,23540.542,1.50443433e-06,true
Fit,23575.76,1.44527712e-06,true
Fit,23610.978,1.38843865e-06,true
Fit,23646.196,1.33382834e-06,true
Fit,23681.414,1.28135916e-06,true
Fit,23716.632,1.23094743e-06,true
Fit,23751.851,1.18251277e-06,true
Fit,23787.069,1.13597788e-06,true
Fit,23822.287,1.09126853e-06,true
Fit,23857.505,1.04831332e-06,true
Fit,23892.723,1.00704368e-06,true
Fit,23927.941,9.67393685e-07,true
Fit,23963.16,9.29299982e-07,true
Fit,23998.378,8.92701691e-07,true
Fit,24033.596,8.57540304e-07,true
Fit,24068.814,8.23759595e-07,true
Fit,24104.032,7.91305527e-07,true
Fit,24139.25,7.60126174e-07,true
Fit,24174.469,7.30171632e-07,true
Fit,24209.687,7.01393945e-07,true
Fit,24244.905,6.73747028e-07,true
Fit,24280.123,6.47186594e-07,true
Fit,24315.341,6.21670086e-07,true
Fit,24350.559,5.97156605e-07,true
Fit,24385.778,5.73606852e-07,true
Fit,24420.996,5.50983059e-07,true
Fit,24456.214,5.29248935e-07,true
Fit,24491.432,5.08369607e-07,true
Fit,24526.65,4.88311563e-07,true
Fit,24561.868,4.690426e-07,true
Fit,24597.087,4.50531775e-07,true
Fit,24632.305,4.32749352e-07,true
Fit,24667.523,4.15666759e-07,true
Fit,24702.741,3.99256541e-07,true
Fit,24737.959,3.83492315e-07,true
Fit,24773.177,3.6834873e-07,true
Fit,24808.396,3.53801429e-07,true
Fit,24843.614,3.39827005e-07,true
Fit,24878.832,3.26402967e-07,true
Fit,24914.05,3.13507705e-07,true
Fit,24949.268,3.01120454e-07,true
Fit,24984.486,2.89221262e-07,true
