Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,10838.201,6.1775875,true,0
Fit,10869.129,6.0166503,true,0
Fit,10900.056,5.8597936,true,0
Fit,10930.984,5.7069178,true,0
Fit,10961.911,5.5579252,true,0
Fit,10992.839,5.4127206,true,0
Fit,11023.767,5.2712111,true,0
Fit,11054.694,5.1333057,true,0
Fit,11085.622,4.9989158,true,0
Fit,11116.55,4.8679548,true,0
Fit,11147.477,4.7403379,true,0
Fit,11178.405,4.6159827,true,0
Fit,11209.333,4.4948085,true,0
Fit,11240.26,4.3767366,true,0
Fit,11271.188,4.26169,true,0
Fit,11302.116,4.1495937,true,0
Fit,11333.043,4.0403744,true,0
Fit,11363.971,3.9339606,true,0
Fit,11394.898,3.8302826,true,0
Fit,11425.826,3.729272,true,0
Fit,11456.754,3.6308624,true,0
Fit,11487.681,3.5349888,true,0
Fit,11518.609,3.4415878,true,0
Fit,11549.537,3.3505976,true,0
Fit,11580.464,3.2619579,true,0
Fit,11611.392,3.1756095,true,0
Fit,11642.32,3.0914951,true,0
Fit,11673.247,3.0095586,true,0
Fit,11704.175,2.9297451,true,0
Fit,11735.103,2.8520012,true,0
Fit,11766.03,2.7762748,true,0
Fit,11796.958,2.7025149,true,0
Fit,11827.885,2.630672,true,0
Fit,11858.813,2.5606976,true,0
Fit,11889.741,2.4925445,true,0
Fit,11920.668,2.4261664,true,0
Fit,11951.596,2.3615185,true,0
Fit,11982.524,2.2985569,true,0
Fit,12013.451,2.2372387,true,0
Fit,12044.379,2.1775222,true,0
Fit,12075.307,2.1193666,true,0
Fit,12106.234,2.0627323,true,0
Fit,12137.162,2.0075804,true,0
Fit,12168.09,1.9538731,true,0
Fit,12199.017,1.9015737,true,0
Fit,12229.945,1.850646,true,0
Fit,12260.873,1.801055,true,0
Fit,12291.8,1.7527666,true,0
Fit,12322.728,1.7057474,true,0
Fit,12353.655,1.6599648,true,0
Fit,12384.583,1.615387,true,0
Fit,12415.511,1.5719833,true,0
Fit,12446.438,1.5297233,true,0
Fit,12477.366,1.4885777,true,0
Fit,12508.294,1.4485178,true,0
Fit,12539.221,1.4095156,true,0
Fit,12570.149,1.3715439,true,0
Fit,12601.077,1.334576,true,0
Fit,12632.004,1.298586,true,0
Fit,12662.932,1.2635487,true,0
Fit,12693.86,1.2294395,true,0
Fit,12724.787,1.1962342,true,0
Fit,12755.715,1.1639095,true,0
Fit,12786.642,1.1324426,true,0
Fit,12817.57,1.1018112,true,0
Fit,12848.498,1.0719936,true,0
Fit,12879.425,1.0429686,true,0
Fit,12910.353,1.0147157,true,0
Fit,12941.281,0.98721474,true,0
Fit,12972.208,0.96044617,true,0
Fit,13003.136,0.93439088,true,0
Fit,13034.064,0.90903029,true,0
Fit,13064.991,0.88434626,true,0
Fit,13095.919,0.86032111,true,0
Fit,13126.847,0.83693763,true,0
Fit,13157.774,0.81417904,true,0
Fit,13188.702,0.79202898,true,0
Fit,13219.63,0.77047152,true,0
Fit,13250.557,0.74949111,true,0
Fit,13281.485,0.72907264,true,0
Fit,13312.412,0.70920134,true,0
Fit,13343.34,0.68986285,true,0
Fit,13374.268,0.67104317,true,0
Fit,13405.195,0.65272865,true,0
Fit,13436.123,0.634906,true,0
Fit,13467.051,0.61756226,true,0
Fit,13497.978,0.60068482,true,0
Fit,13528.906,0.58426138,true,0
Fit,13559.834,0.56827996,true,0
Fit,13590.761,0.55272889,true,0
Fit,13621.689,0.53759681,true,0
Fit,13652.617,0.52287263,true,0
Fit,13683.544,0.50854556,true,0
Fit,13714.472,0.4946051,true,0
Fit,13745.399,0.481041,true,0
Fit,13776.327,0.46784329,true,0
Fit,13807.255,0.45500225,true,0
Fit,13838.182,0.44250842,true,0
Fit,13869.11,0.43035258,true,0
Fit,13900.038,0.41852574,true,0
Fit,13930.965,0.40701917,true,0
Fit,13961.893,0.39582435,true,0
Fit,13992.821,0.38493296,true,0
Fit,14023.748,0.37433695,true,0
Fit,14054.676,0.36402842,true,0
Fit,14085.604,0.35399973,true,0
Fit,14116.531,0.34424339,true,0
Fit,14147.459,0.33475215,true,0
Fit,14178.387,0.32551892,true,0
Fit,14209.314,0.31653681,true,0
Fit,14240.242,0.30779909,true,0
Fit,14271.169,0.29929924,true,0
Fit,14302.097,0.29103089,true,0
Fit,14333.025,0.28298782,true,0
Fit,14363.952,0.27516401,true,0
Fit,14394.88,0.26755358,true,0
Fit,14425.808,0.2601508,true,0
Fit,14456.735,0.2529501,true,0
Fit,14487.663,0.24594605,true,0
Fit,14518.591,0.23913336,true,0
Fit,14549.518,0.23250689,true,0
Fit,14580.446,0.22606162,true,0
Fit,14611.374,0.21979269,true,0
Fit,14642.301,0.21369535,true,0
Fit,14673.229,0.20776496,true,0
Fit,14704.156,0.20199703,true,0
Fit,14735.084,0.19638717,true,0
Fit,14766.012,0.19093113,true,0
Fit,14796.939,0.18562474,true,0
Fit,14827.867,0.18046397,true,0
Fit,14858.795,0.17544487,true,0
Fit,14889.722,0.17056362,true,0
Fit,14920.65,0.16581649,true,0
Fit,14951.578,0.16119984,true,0
Fit,14982.505,0.15671015,true,0
Fit,15013.433,0.15234397,true,0
Fit,15044.361,0.14809795,true,0
Fit,15075.288,0.14396884,true,0
Fit,15106.216,0.13995346,true,0
Fit,15137.143,0.13604872,true,0
Fit,15168.071,0.13225163,true,0
Fit,15198.999,0.12855924,true,0
Fit,15229.926,0.12496873,true,0
Fit,15260.854,0.12147731,true,0
Fit,15291.782,0.11808228,true,0
Fit,15322.709,0.11478104,true,0
Fit,15353.637,0.11157101,true,0
Fit,15384.565,0.10844972,true,0
Fit,15415.492,0.10541474,true,0
Fit,15446.42,0.10246372,true,0
Fit,15477.348,0.099594369,true,0
Fit,15508.275,0.096804458,true,0
Fit,15539.203,0.094091817,true,0
Fit,15570.131,0.091454332,true,0
Fit,15601.058,0.088889951,true,0
Fit,15631.986,0.086396673,true,0
Fit,15662.913,0.083972553,true,0
Fit,15693.841,0.081615697,true,0
Fit,15724.769,0.079324263,true,0
Fit,15755.696,0.077096458,true,0
Fit,15786.624,0.07493054,true,0
Fit,15817.552,0.072824809,true,0
Fit,15848.479,0.070777616,true,0
Fit,15879.407,0.068787352,true,0
Fit,15910.335,0.066852456,true,0
Fit,15941.262,0.064971406,true,0
Fit,15972.19,0.063142723,true,0
Fit,16003.118,0.061364966,true,0
Fit,16034.045,0.059636735,true,0
Fit,16064.973,0.057956667,true,0
Fit,16095.9,0.056323436,true,0
Fit,16126.828,0.054735753,true,0
Fit,16157.756,0.053192362,true,0
Fit,16188.683,0.051692043,true,0
Fit,16219.611,0.050233609,true,0
Fit,16250.539,0.048815903,true,0
Fit,16281.466,0.047437802,true,0
Fit,16312.394,0.046098213,true,0
Fit,16343.322,0.044796072,true,0
Fit,16374.249,0.043530345,true,0
Fit,16405.177,0.042300024,true,0
Fit,16436.105,0.041104132,true,0
Fit,16467.032,0.039941716,true,0
Fit,16497.96,0.038811849,true,0
Fit,16528.888,0.03771363,true,0
Fit,16559.815,0.036646184,true,0
Fit,16590.743,0.035608657,true,0
Fit,16621.67,0.034600221,true,0
Fit,16652.598,0.033620069,true,0
Fit,16683.526,0.032667416,true,0
Fit,16714.453,0.0317415,true,0
Fit,16745.381,0.030841578,true,0
Fit,16776.309,0.029966929,true,0
Fit,16807.236,0.029116851,true,0
Fit,16838.164,0.028290661,true,0
Fit,16869.092,0.027487695,true,0
Fit,16900.019,0.026707307,true,0
Fit,16930.947,0.02594887,true,0
Fit,16961.875,0.025211772,true,0
Fit,16992.802,0.024495419,true,0
Fit,17023.73,0.023799234,true,0
Fit,17054.657,0.023122656,true,0
Fit,17085.585,0.022465137,true,0
Fit,17116.513,0.021826146,true,0
Fit,17147.44,0.021205167,true,0
Fit,17178.368,0.020601698,true,0
Fit,17209.296,0.020015249,true,0
Fit,17240.223,0.019445345,true,0
Fit,17271.151,0.018891525,true,0
Fit,17302.079,0.01835334,true,0
Fit,17333.006,0.017830351,true,0
Fit,17363.934,0.017322136,true,0
Fit,17394.862,0.016828279,true,0
Fit,17425.789,0.016348381,true,0
Fit,17456.717,0.01588205,true,0
Fit,17487.645,0.015428906,true,0
Fit,17518.572,0.014988581,true,0
