fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07407,4.25,16.07,1509669820,2.899,3.107,1.202,6.009,16.22,2.14,7.743,114.8,3.247,5.138,1.838,0.08762,19.29,18.73,3.603,0.005193,9.844,background,30/10/2017
0.075,4.411,3.932,1509675229,2.672,1.629,1.544,6.512,16.36,1.945,3.985,63.9,1.505,4.984,2.854,0.08959,18.67,3.111,3.469,0.005788,5.71,background,30/10/2017
0.06897,4.228,10.04,1509680603,2.892,2.535,1.108,4.514,16.16,1.433,2.415,80.9,2.247,4.932,0.9446,0.0895,18.7,7.034,3.491,0.005153,7.229,background,30/10/2017
0.07018,4.339,9.705,1509686010,2.89,2.616,1.25,5.019,16.44,2.307,7.329,92.29,2.678,5.127,2.015,0.08805,18.95,10.28,3.418,0.005216,8.572,background,30/10/2017
0.07512,4.285,8.317,1509691416,2.946,2.439,1.018,6.904,16.12,2.031,4.817,108.6,1.979,5.092,0.5074,0.09052,19.2,4.368,3.651,0.005669,9.543,background,30/10/2017
0.06306,4.395,4.606,1509696833,2.955,1.853,1.393,4.616,16.46,2.144,6.476,80.02,1.716,5.097,2.029,0.08158,18.98,3.646,3.494,0.005153,7.1,background,30/10/2017
0.06732,4.484,13.04,1509702220,2.667,2.578,1.429,5.247,16.92,1.912,4.44,103.1,2.787,5.273,2.184,0.08494,19.66,14.93,3.251,0.005793,8.706,background,30/10/2017
0.06695,4.25,4.928,1509707633,2.651,1.873,1.33,5.923,15.82,2.313,6.844,75.86,1.673,4.992,2.034,0.08639,18.59,3.175,3.415,0.005644,6.954,background,30/10/2017
0.0678,4.338,6.916,1509713042,2.811,2.261,1.391,5.431,16.21,2.16,5.28,93.08,2.705,5.14,3.096,0.08638,18.84,11.8,3.419,0.005149,8.289,background,30/10/2017
0.06808,4.596,3.505,1509718469,2.747,1.568,1.443,6.959,17.88,2.384,6.679,67.57,1.574,5.149,2.05,0.08702,19.46,3.449,3.547,0.005696,5.95,background,30/10/2017
0.07895,4.256,18.2,1509723884,2.889,3.505,2.149,6.587,16.69,2.307,7.886,130,2.89,5.212,9.568,0.09972,19.76,11.92,3.52,0.007979,12.84,background,30/10/2017
0.07561,4.515,3.502,1509729279,2.656,1.628,1.194,6.102,17.04,2.215,5.861,72.39,1.558,5.06,1.539,0.09164,18.87,3.739,3.369,0.00582,6.597,background,30/10/2017
0.07752,4.274,5.129,1509735157,3.106,1.825,1.165,6.99,15.97,1.392,1.405,55.34,1.835,4.66,1.427,0.0931,17.55,4.856,3.852,0.004928,4.92,background,30/10/2017
0.07273,4.196,6.111,1509741088,2.879,2.224,0.9512,16.91,15.79,7.901,92.51,102.4,2.072,4.981,0.2836,0.0967,18.85,5.391,3.783,0.006023,9.164,background,30/10/2017
0.06849,4.484,29.1,1509746507,2.907,4.197,1.927,5.713,16.59,2.058,5.376,102.8,3.714,5.062,4.946,0.08667,18.98,22.77,3.525,0.006087,8.932,background,30/10/2017
0.06818,4.244,2.653,1509751953,2.791,1.464,1.749,6.801,16.15,2.445,6.679,74.88,1.506,4.966,3.229,0.08823,18.47,2.979,3.459,0.006845,6.59,background,30/10/2017
0.07283,4.438,5.98,1509757395,2.841,2.022,1.191,5.065,16.38,2.449,8.297,82.57,1.912,5.011,1.284,0.09109,18.67,5.346,3.411,0.00559,7.403,background,30/10/2017
0.07547,4.143,3.973,1509762830,2.877,1.794,1.325,6.579,15.34,1.853,4.235,78.52,2.009,4.785,1.998,0.09327,17.99,5.209,3.686,0.006377,6.082,background,30/10/2017
0.07378,4.352,9.594,1509768257,3.039,2.463,1.464,5.224,16.31,1.765,3.811,103.7,2.17,5.221,2.505,0.08845,19.15,6.529,3.564,0.005327,9.433,background,30/10/2017
0.07273,4.16,10.57,1509773621,2.82,2.481,1.451,4.641,15.85,1.733,3.355,87.81,2.223,5.006,2.741,0.09255,18.5,7.953,3.373,0.00628,8.465,background,30/10/2017
0.06961,4.51,3.783,1509779064,2.915,1.762,1.704,5.582,16.38,2.577,11.44,58.14,1.581,5.048,4.049,0.08233,18.63,2.884,3.506,0.004845,5.467,background,30/10/2017
0.05946,4.78,3.329,1509784453,2.71,1.511,1.236,4.357,17.28,1.854,3.969,75.45,1.526,5.347,1.648,0.07297,19.64,3.374,3.356,0.003846,6.629,background,30/10/2017
0.07018,4.345,1.362,1509789918,2.791,1.275,1.236,5.308,17.11,2.3,6.726,75.89,1.383,5.11,1.795,0.08772,19.45,1.909,3.468,0.005161,5.962,background,30/10/2017
0.07263,4.374,16.68,1509795360,2.85,3.215,1.05,3.997,16.1,2.176,7.061,114.6,3.383,5.171,0.8659,0.09027,19.25,18.7,3.323,0.005206,9.837,background,30/10/2017
0.06961,4.218,5.569,1509800769,2.654,2.067,1.168,5.736,16.25,2.081,5.235,107,2.288,5.06,1.026,0.08938,19.44,6.653,3.455,0.005697,7.981,background,30/10/2017
0.06422,4.266,2.776,1509806167,2.714,1.543,1.49,5.956,16.07,2.141,5.286,96.33,1.904,5.086,2.537,0.08343,19.06,5.395,3.43,0.005926,7.916,background,30/10/2017
0.07207,4.488,6.451,1509811568,2.946,2.113,1.378,6.358,16.76,2.624,9.786,97.54,2.708,5.152,1.827,0.09018,19.45,11.71,3.587,0.005863,7.44,background,30/10/2017
0.06977,4.435,15.18,1509817002,2.622,2.925,1.533,5.441,16.88,1.865,3.32,79.12,2.279,5.043,3.307,0.08626,18.97,8.503,3.362,0.005133,6.972,background,30/10/2017
0.075,4.2,13.21,1509822406,2.665,2.802,1.509,6.399,16.35,2.053,5.123,103.9,3.036,4.974,3.039,0.09537,18.92,15.89,3.435,0.006478,8.488,background,30/10/2017
0.06731,4.592,3.314,1509827820,2.733,1.434,1.317,5.595,17.04,2.172,6.056,54.99,1.328,4.979,1.568,0.08451,18.69,2.233,3.448,0.005177,4.512,background,30/10/2017
0.06404,4.584,3.315,1509833727,2.553,1.659,1.298,5.577,16.94,2.088,5.604,93.1,2.031,5.352,1.817,0.08156,19.89,6.589,3.246,0.005116,7.603,background,30/10/2017
0.06803,4.406,4.222,1509839674,2.708,1.786,1.363,5.072,16.38,1.957,4.608,92.25,2.224,5.059,2.383,0.08707,18.89,7.279,3.323,0.005583,7.06,background,30/10/2017
0.06977,4.6,6.833,1509845040,2.814,2.099,1.039,4.592,17.02,2.568,9.662,78.84,2.009,5.201,1.134,0.07916,19.48,5.81,3.332,0.003968,6.746,background,30/10/2017
0.06971,4.344,8.514,1509850440,2.763,2.251,1.447,5.052,16.32,1.951,4.615,84.03,2.37,5.096,2.527,0.08992,18.92,9.746,3.418,0.00553,7.454,background,30/10/2017
0.06383,4.497,13.9,1509855898,2.761,2.769,1.507,5.036,17.54,2.166,7.068,129.2,3.521,5.457,2.992,0.08497,20.18,22.67,3.237,0.006162,10.51,background,30/10/2017
0.07186,4.741,4.988,1509861331,2.691,1.987,1.366,4.193,17.66,1.917,5.126,81.9,1.839,5.287,2.134,0.08762,19.53,4.618,3.318,0.005568,8.106,background,30/10/2017
0.06757,4.372,3.295,1509866746,2.863,1.675,1.343,5.833,16.41,2.071,5.321,78.62,1.846,4.979,1.82,0.08504,18.55,4.409,3.511,0.005369,6.431,background,30/10/2017
0.05882,4.662,13.95,1509872196,2.721,3.033,1.595,5.147,17.44,2.036,5.081,83.03,2.776,5.219,3.396,0.07742,19.37,12.81,3.356,0.0046,7.478,background,30/10/2017
0.07107,4.455,5.976,1509877590,2.724,1.896,1.235,4.056,17.15,2.259,7.183,71.83,1.586,5.07,1.526,0.08997,19.02,3.945,3.237,0.005924,6.639,background,30/10/2017
