300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.70859669,4.92190867e-49,1,0.99066101,0.778,0.8,0.87087087,0.45567951,0.70197911,0.3198775,0.4369118,0.56158329,0.255902,0.19909176
0.71595022,1.43229465e-47,1,0.99094812,0.778,0.8,0.88088088,0.45725566,0.70946953,0.32440896,0.44157383,0.56757562,0.25952717,0.20191214
0.72304178,3.5509851e-46,1,0.9912223,0.778,0.8,0.89089089,0.45883181,0.71669514,0.32884253,0.44607105,0.57335611,0.26307402,0.20467159
0.73000564,8.53576232e-45,1,0.99148499,0.778,0.8,0.9009009,0.46038399,0.72378964,0.33322116,0.45048667,0.57903171,0.26657693,0.20739685
0.73686085,1.98507676e-43,1,0.991738,0.778,0.8,0.91091091,0.46169372,0.73077291,0.33739326,0.45483306,0.58461832,0.26991461,0.20999357
0.74356017,4.31370352e-42,1,0.99198072,0.778,0.8,0.92092092,0.46300346,0.73759735,0.34151013,0.45908059,0.59007788,0.2732081,0.2125559
0.75008069,8.29012603e-41,1,0.9922135,0.778,0.8,0.93093093,0.4643132,0.74424018,0.34556054,0.46321509,0.59539215,0.27644843,0.21507688
0.756437,1.43023058e-39,1,0.99243829,0.778,0.8,0.94094094,0.46562294,0.75071704,0.34955107,0.46724629,0.60057363,0.27964086,0.21756059
0.7625822,2.15799215e-38,1,0.9926543,0.778,0.8,0.95095095,0.46693267,0.7569805,0.35345893,0.47114466,0.6055844,0.28276714,0.21999284
0.76853178,2.93011143e-37,0.99999999,0.99286102,0.778,0.8,0.96096096,0.46824241,0.76304525,0.35729015,0.47491936,0.6104362,0.28583212,0.22237739
0.77432802,3.63672605e-36,0.99999999,0.99306098,0.778,0.8,0.97097097,0.46955215,0.76895493,0.36106444,0.47859755,0.61516395,0.28885155,0.22472651
0.77991465,3.99892241e-35,0.99999999,0.99325311,0.778,0.8,0.98098098,0.47086188,0.77465264,0.3647544,0.48214381,0.61972211,0.29180352,0.22702314
0.78533149,4.04718007e-34,0.99999998,0.99343729,0.778,0.8,0.99099099,0.47217162,0.78017756,0.36837771,0.48558252,0.62414205,0.29470216,0.22927828
0.79060702,3.77906377e-33,0.99999996,0.99361552,0.778,0.8,1.001001,0.47344663,0.78555938,0.37192044,0.48893216,0.6284475,0.29753635,0.23148328
0.79568299,3.18559463e-32,0.99999995,0.99378559,0.778,0.8,1.011011,0.47440903,0.79073825,0.37513336,0.49215548,0.6325906,0.30010669,0.233483
0.8006188,2.51489776e-31,0.99999992,0.9939477,0.778,0.8,1.021021,0.47537142,0.79577315,0.37828782,0.49528921,0.63661852,0.30263025,0.23544634
