Type,Temperature,DateTime,Timestamp
IMB,39.0141,2017-04-18.06:08:34,1492488514
IMB,38.9802,2017-04-18.06:08:40,1492488520
IMB,39.0218,2017-04-18.06:08:45,1492488525
IMB,38.9679,2017-04-18.06:08:51,1492488531
IMB,39.0511,2017-04-18.06:08:56,1492488536
IMB,38.991,2017-04-18.06:09:02,1492488542
IMB,39.0588,2017-04-18.06:09:07,1492488547
IMB,39.0588,2017-04-18.06:09:13,1492488553
IMB,38.9464,2017-04-18.06:09:18,1492488558
IMB,39.0295,2017-04-18.06:09:24,1492488564
IMB,39.0588,2017-04-18.06:09:30,1492488570
IMB,39.0788,2017-04-18.06:09:35,1492488575
IMB,39.0526,2017-04-18.06:09:41,1492488581
IMB,39.0126,2017-04-18.06:09:46,1492488586
IMB,39.0357,2017-04-18.06:09:52,1492488592
IMB,39.068,2017-04-18.06:09:57,1492488597
IMB,39.0757,2017-04-18.06:10:03,1492488603
IMB,39.085,2017-04-18.06:10:08,1492488608
IMB,39.1004,2017-04-18.06:10:14,1492488614
IMB,39.0757,2017-04-18.06:10:19,1492488619
IMB,39.0958,2017-04-18.06:10:25,1492488625
IMB,39.1035,2017-04-18.06:10:30,1492488630
IMB,39.1327,2017-04-18.06:10:36,1492488636
IMB,39.1096,2017-04-18.06:10:42,1492488642
IMB,39.068,2017-04-18.06:10:47,1492488647
IMB,39.1189,2017-04-18.06:10:53,1492488653
IMB,39.1065,2017-04-18.06:10:58,1492488658
IMB,39.1158,2017-04-18.06:11:04,1492488664
IMB,39.1143,2017-04-18.06:11:09,1492488669
IMB,39.1497,2017-04-18.06:11:15,1492488675
IMB,39.1189,2017-04-18.06:11:20,1492488680
IMB,39.1697,2017-04-18.06:11:26,1492488686
IMB,39.1636,2017-04-18.06:11:31,1492488691
IMB,39.1574,2017-04-18.06:11:37,1492488697
IMB,39.1944,2017-04-18.06:11:42,1492488702
IMB,39.1559,2017-04-18.06:11:48,1492488708
IMB,39.1127,2017-04-18.06:11:53,1492488713
IMB,39.1559,2017-04-18.06:11:59,1492488719
IMB,39.1589,2017-04-18.06:12:05,1492488725
IMB,39.1512,2017-04-18.06:12:10,1492488730
IMB,39.1713,2017-04-18.06:12:16,1492488736
IMB,39.1713,2017-04-18.06:12:21,1492488741
IMB,39.0973,2017-04-18.06:12:27,1492488747
IMB,39.0912,2017-04-18.06:12:32,1492488752
IMB,39.0649,2017-04-18.06:12:38,1492488758
IMB,39.1173,2017-04-18.06:12:43,1492488763
IMB,39.0989,2017-04-18.06:12:49,1492488769
IMB,39.1343,2017-04-18.06:12:54,1492488774
IMB,39.1651,2017-04-18.06:13:00,1492488780
IMB,39.1713,2017-04-18.06:13:05,1492488785
IMB,39.1774,2017-04-18.06:13:11,1492488791
IMB,39.1081,2017-04-18.06:13:16,1492488796
IMB,39.1666,2017-04-18.06:13:22,1492488802
IMB,39.1913,2017-04-18.06:13:28,1492488808
IMB,39.1898,2017-04-18.06:13:33,1492488813
IMB,39.2144,2017-04-18.06:13:39,1492488819
IMB,39.2036,2017-04-18.06:13:44,1492488824
IMB,39.2175,2017-04-18.06:13:50,1492488830
IMB,39.2544,2017-04-18.06:13:55,1492488835
IMB,39.2606,2017-04-18.06:14:01,1492488841
IMB,39.256,2017-04-18.06:14:06,1492488846
IMB,39.2575,2017-04-18.06:14:12,1492488852
IMB,39.219,2017-04-18.06:14:17,1492488857
IMB,39.2052,2017-04-18.06:14:23,1492488863
IMB,39.2082,2017-04-18.06:14:28,1492488868
IMB,39.2221,2017-04-18.06:14:34,1492488874
IMB,39.2329,2017-04-18.06:14:39,1492488879
IMB,39.2144,2017-04-18.06:14:45,1492488885
IMB,39.2252,2017-04-18.06:14:51,1492488891
IMB,39.2236,2017-04-18.06:14:56,1492488896
IMB,39.1836,2017-04-18.06:15:02,1492488902
IMB,39.1867,2017-04-18.06:15:07,1492488907
IMB,39.1558,2017-04-18.06:15:13,1492488913
IMB,39.0619,2017-04-18.06:15:18,1492488918
IMB,38.988,2017-04-18.06:15:24,1492488924
IMB,38.9248,2017-04-18.06:15:29,1492488929
IMB,38.877,2017-04-18.06:15:35,1492488935
IMB,38.78,2017-04-18.06:15:40,1492488940
IMB,38.7538,2017-04-18.06:15:46,1492488946
IMB,38.7554,2017-04-18.06:15:51,1492488951
IMB,38.7431,2017-04-18.06:15:57,1492488957
IMB,38.7831,2017-04-18.06:16:02,1492488962
IMB,38.8246,2017-04-18.06:16:08,1492488968
IMB,38.8154,2017-04-18.06:16:14,1492488974
IMB,38.8077,2017-04-18.06:16:19,1492488979
IMB,38.7569,2017-04-18.06:16:25,1492488985
IMB,38.6753,2017-04-18.06:16:30,1492488990
IMB,38.6629,2017-04-18.06:16:36,1492488996
IMB,38.666,2017-04-18.06:16:41,1492489001
IMB,38.6198,2017-04-18.06:16:47,1492489007
IMB,38.6676,2017-04-18.06:16:52,1492489012
