limits,candsInSens
7.22491863e-23,0
6.72378889e-23,0
6.57299055e-23,0
6.68652048e-23,0
9.13921744e-23,2
9.97248247e-23,2
7.92100386e-23,1
6.6502815e-23,0
8.42194769e-23,0
6.80375442e-23,0
8.59252284e-23,1
7.78409166e-23,1
7.59102711e-23,0
8.36803158e-23,1
7.04542537e-23,0
7.55594934e-23,0
8.97432661e-23,2
8.0971685e-23,1
7.7979506e-23,1
9.88393985e-23,4
1.00219125e-22,3
8.24020797e-23,1
8.08929782e-23,1
7.3770718e-23,1
8.18782739e-23,2
8.86317964e-23,2
7.9753556e-23,2
1.03526399e-22,2
6.72137085e-23,0
7.90410094e-23,1
1.02866688e-22,3
7.42734957e-23,1
8.69985813e-23,3
7.39832211e-23,1
9.66896347e-23,2
6.96957464e-23,0
7.53791869e-23,1
7.58773804e-23,1
9.54932997e-23,2
9.06309442e-23,3
8.06310562e-23,0
6.92452795e-23,0
7.18772125e-23,0
1.03343929e-22,2
9.12851169e-23,3
7.19974111e-23,1
6.81450978e-23,0
7.75630253e-23,1
6.88272432e-23,0
7.96634885e-23,1
9.72232244e-23,3
7.37665946e-23,0
7.71302168e-23,1
7.70911929e-23,1
8.14510876e-23,0
8.11950604e-23,1
7.58612588e-23,1
6.89168759e-23,0
9.44117161e-23,1
7.30415153e-23,0
6.82263772e-23,0
7.33926258e-23,0
7.8805536e-23,1
8.70297534e-23,1
7.16146121e-23,0
7.6213012e-23,0
9.34674967e-23,2
7.16604384e-23,1
1.06700746e-22,4
6.94012696e-23,0
7.3953608e-23,1
9.2691184e-23,1
7.56440251e-23,2
7.22457979e-23,1
1.094897e-22,3
7.42381532e-23,0
7.19115913e-23,1
6.98035961e-23,0
7.30910952e-23,0
7.19131964e-23,0
6.61024238e-23,0
8.31082585e-23,0
8.41981161e-23,1
7.16282724e-23,0
6.83902353e-23,0
8.0916504e-23,1
8.19259965e-23,0
6.99756139e-23,0
7.03779789e-23,0
8.43738811e-23,2
7.66982959e-23,1
8.23056222e-23,1
8.528281e-23,3
6.8379445e-23,0
7.63444308e-23,1
7.6701006e-23,1
8.52453901e-23,1
7.06279079e-23,1
8.10244472e-23,1
7.48436421e-23,0
7.58400786e-23,1
6.79512266e-23,0
8.81482998e-23,2
1.00442589e-22,2
8.55837573e-23,2
9.04052867e-23,2
6.9994805e-23,1
8.00718481e-23,1
6.97234139e-23,0
6.69051644e-23,0
8.97315288e-23,2
7.09539217e-23,1
9.42093873e-23,3
8.58926325e-23,1
8.5370424e-23,1
9.12525424e-23,3
1.11559207e-22,5
6.54584347e-23,0
7.72271412e-23,1
6.85519524e-23,0
6.71514234e-23,0
8.0410596e-23,1
7.42145094e-23,1
9.52495578e-23,1
8.63422761e-23,2
9.20434362e-23,5
7.9018419e-23,2
8.93359799e-23,2
7.68141052e-23,1
1.05842826e-22,3
8.09605034e-23,0
8.91361914e-23,2
8.25771187e-23,1
6.88730558e-23,1
6.76881488e-23,0
8.31371223e-23,1
8.72816152e-23,2
1.02807414e-22,2
9.21155119e-23,1
1.02127276e-22,2
8.83034114e-23,1
7.31517554e-23,0
6.97879664e-23,0
7.0192629e-23,0
7.17203532e-23,1
8.64837307e-23,2
8.26106526e-23,1
7.39572512e-23,1
9.05222917e-23,2
7.18420906e-23,0
1.09957608e-22,4
7.47150542e-23,1
7.47464142e-23,0
7.32508542e-23,2
1.07445766e-22,3
7.49902523e-23,1
7.07593845e-23,0
9.42030382e-23,2
1.01479456e-22,4
6.72174223e-23,0
8.32853789e-23,2
9.35309324e-23,3
8.20912652e-23,1
7.23156264e-23,0
1.00143093e-22,2
8.16010105e-23,1
7.23023657e-23,0
1.12416802e-22,3
6.62287935e-23,0
8.79466351e-23,3
9.39146466e-23,2
8.84444292e-23,2
8.42833778e-23,1
9.3582278e-23,3
7.83347879e-23,1
7.74086898e-23,0
7.33751062e-23,0
6.5975206e-23,0
8.27169048e-23,1
1.0907292e-22,4
6.71907192e-23,0
6.73638041e-23,0
7.22308744e-23,0
7.19064008e-23,0
6.83003277e-23,0
8.16389838e-23,2
9.42396017e-23,2
6.80937669e-23,0
7.34805311e-23,1
6.85246232e-23,1
7.73356365e-23,1
8.67479762e-23,2
8.15936614e-23,0
7.3910344e-23,0
8.49112371e-23,1
1.13989487e-22,4
7.35164911e-23,1
7.73309695e-23,0
6.99293292e-23,0
6.89265701e-23,0
7.16845818e-23,1
8.16563971e-23,0
7.58187717e-23,1
7.39580687e-23,0
6.67637889e-23,0
6.84285882e-23,0
1.01668635e-22,2
6.69112017e-23,0
7.27541806e-23,0
7.01589554e-23,0
7.33337315e-23,0
7.54869593e-23,2
7.1507192e-23,0
9.59360252e-23,1
7.80921342e-23,1
7.40873727e-23,0
7.19382128e-23,0
8.00722428e-23,1
7.44522026e-23,1
6.78070007e-23,0
8.29018741e-23,1
7.38998315e-23,1
7.9089772e-23,2
8.37095064e-23,1
8.91448831e-23,1
7.2541847e-23,1
