limits,candsInSens
3.07187599e+42,1
1.28452865e+42,1
1.58923142e+42,1
2.31630824e+42,3
1.85986867e+42,4
1.40591705e+42,4
1.4226604e+42,0
1.61050704e+42,3
3.13344174e+42,7
1.67303393e+42,3
2.06052868e+42,3
1.39426404e+42,3
2.14783773e+42,2
1.18026598e+42,2
2.44895357e+42,4
1.92445041e+42,1
1.97467859e+42,3
1.91793925e+42,2
2.17426095e+42,3
2.26833899e+42,5
1.37335623e+42,1
2.08514369e+42,3
2.67134442e+42,3
2.21713951e+42,4
1.81606404e+42,2
2.02818571e+42,2
1.42807976e+42,1
1.67111832e+42,0
2.74121242e+42,3
2.2897175e+42,1
1.21575058e+42,1
3.39511005e+42,2
2.0352562e+42,3
1.01550372e+42,1
2.78251138e+42,7
1.51608773e+42,2
1.17536512e+42,1
1.10554262e+42,0
3.73140605e+42,5
2.13633689e+42,2
1.11577798e+42,0
2.64531016e+42,4
1.43022246e+42,1
2.20743936e+42,5
1.77307814e+42,3
1.64904149e+42,3
2.14925354e+42,3
1.27104289e+42,3
1.54887275e+42,0
1.41122469e+42,1
1.79958148e+42,3
2.04064475e+42,2
1.16813591e+42,0
2.58946611e+42,2
1.37144465e+42,1
3.31182381e+42,4
1.67864935e+42,3
1.97210556e+42,0
3.03376932e+42,4
2.04488231e+42,4
1.30588817e+42,1
1.78782994e+42,1
1.33631545e+42,1
3.34138182e+42,3
2.03162938e+42,4
2.06025636e+42,4
1.25471439e+42,1
3.56441632e+42,5
1.17372392e+42,0
1.94046152e+42,3
1.17095088e+42,1
1.04062966e+42,1
1.50970778e+42,1
2.77658497e+42,5
1.4557441e+42,2
2.20450989e+42,3
2.27310195e+42,3
1.02610205e+42,1
1.45444864e+42,2
2.04140308e+42,3
2.03468109e+42,2
1.51710646e+42,0
1.2886376e+42,2
1.33354564e+42,1
1.58361692e+42,2
1.41896851e+42,2
2.76991571e+42,4
1.03777437e+42,1
3.09285988e+42,5
1.24526093e+42,1
2.12699298e+42,1
1.86734373e+42,3
1.77962176e+42,2
1.22384433e+42,1
1.38742544e+42,3
1.1431841e+42,0
1.28144783e+42,0
1.88213499e+42,1
1.8133583e+42,3
1.23927496e+42,1
1.90579809e+42,1
1.14737819e+42,0
1.23303696e+42,1
1.96282911e+42,2
3.09028659e+42,2
2.02338065e+42,6
1.29596409e+42,0
1.27077747e+42,1
9.76264643e+41,1
1.47669266e+42,1
1.69685476e+42,3
2.65021473e+42,3
1.50616101e+42,0
2.17075143e+42,2
1.13802491e+42,1
2.94388976e+42,2
1.04650158e+42,1
1.42716253e+42,2
1.32567268e+42,1
1.67306265e+42,1
1.30377696e+42,3
2.45824502e+42,4
1.43696992e+42,0
2.08323337e+42,5
2.69470087e+42,5
1.96995575e+42,3
1.8232166e+42,2
2.08256783e+42,3
1.80956364e+42,3
1.68103032e+42,2
1.22951854e+42,3
1.21035816e+42,2
1.93308681e+42,1
1.56397168e+42,2
1.70764198e+42,3
3.22800221e+42,3
1.89396083e+42,2
1.62600612e+42,2
1.5077766e+42,0
2.71739755e+42,3
1.83221413e+42,3
1.60848652e+42,3
1.42715861e+42,1
2.94185852e+42,6
2.34000717e+43,0
1.24409414e+42,2
1.11934524e+42,2
1.13067036e+42,1
1.72810099e+42,2
1.44989482e+42,1
1.30381053e+42,2
4.8754586e+42,7
9.93312747e+41,0
1.22009549e+42,2
2.15053576e+42,4
2.58983774e+42,4
1.61638131e+42,1
1.57986948e+42,3
2.44923317e+42,3
1.37508015e+42,2
2.04651285e+42,4
1.83006172e+42,1
1.26887514e+42,1
1.34419113e+42,2
1.22107535e+42,0
3.34434403e+42,2
1.85627809e+42,0
1.33307873e+42,2
1.74934533e+42,3
2.01670495e+42,3
2.38213716e+42,4
2.59747357e+42,6
2.53778823e+42,4
1.45631998e+42,0
1.29869265e+42,0
1.3556424e+42,2
1.7755451e+42,1
1.7575177e+42,0
1.32911284e+42,1
1.17799592e+42,0
2.22835795e+42,4
2.50583917e+42,2
2.01334534e+42,5
1.44679037e+42,2
2.42854048e+42,3
1.83499232e+42,3
1.44688436e+42,1
1.64094109e+42,0
1.48699731e+42,2
1.46708562e+42,1
3.60781112e+42,6
1.96801364e+42,2
1.32275511e+42,2
2.52743419e+42,5
1.3003836e+42,1
1.56118119e+42,1
1.76426163e+42,1
1.71767342e+42,4
1.35348171e+42,1
4.24076999e+42,4
1.72979844e+42,3
1.59904984e+42,1
2.13226311e+42,2
1.17353938e+42,0
2.20627462e+42,1
7.82425103e+41,0
1.78301354e+42,0
1.35178712e+42,2
1.06395585e+42,1
1.56869111e+42,2
3.11271138e+42,4
2.66291449e+42,3
1.61063794e+42,2
1.74554465e+42,0
1.11329165e+42,2
1.93243446e+42,5
2.09713384e+42,3
1.15321669e+42,0
1.52413305e+42,3
1.85715183e+42,4
1.33713371e+42,0
1.47240546e+42,1
3.23564642e+42,6
1.63737386e+42,2
1.45206299e+42,1
1.13129287e+42,1
1.35737111e+42,1
1.37245291e+42,1
2.21657703e+42,1
1.66861283e+42,2
3.56895756e+42,5
1.10774873e+42,1
3.0083419e+42,4
2.15930907e+42,3
1.47804702e+42,2
1.69091009e+42,0
1.45449256e+42,1
2.11540918e+42,3
1.84218545e+42,1
1.11374385e+42,0
2.12402067e+42,3
1.69082285e+42,2
1.94511887e+42,0
1.65783461e+42,2
1.49531654e+42,2
1.89594448e+42,1
1.00846917e+42,0
1.427585e+42,1
9.40162334e+41,0
2.22198184e+42,2
1.48453758e+42,1
1.68888493e+42,1
1.63389509e+42,1
2.67554996e+42,4
1.32191786e+42,1
9.51966135e+41,0
1.2526873e+42,2
2.72838694e+42,4
2.75381153e+42,3
2.13682027e+42,5
9.14516811e+41,0
1.53562501e+42,1
1.54807718e+42,1
1.18472847e+42,0
1.59348694e+42,2
2.46369716e+42,3
1.13637973e+42,1
2.90695195e+42,9
1.51589874e+42,2
1.28180522e+42,1
1.21814947e+42,1
2.18196042e+42,2
1.85633192e+42,4
1.77520904e+42,3
1.59493097e+42,0
1.58619832e+42,2
1.9145999e+42,1
1.47631222e+42,1
1.20506696e+42,0
1.31753601e+42,0
2.19518961e+42,1
1.66188954e+42,2
2.90080757e+42,3
1.79330554e+42,3
1.11300368e+42,1
1.76768012e+42,2
1.43582209e+42,1
1.43569326e+42,0
1.60845018e+42,1
1.84197802e+42,4
1.54419665e+42,2
1.98716795e+42,3
1.47097181e+42,1
1.45043875e+42,0
1.51769624e+42,1
1.93443858e+42,6
1.8993913e+42,3
1.67245871e+42,0
1.17409747e+42,2
2.29358015e+42,2
1.06385438e+42,2
2.07823487e+42,3
2.07504904e+42,1
1.22316035e+42,0
1.30575399e+42,1
1.65319488e+42,2
1.56321671e+42,2
2.56318194e+42,6
1.37147029e+42,0
1.53211609e+42,2
1.61477722e+42,1
1.47360004e+42,1
3.11862169e+42,4
1.58412108e+42,2
3.46612389e+42,5
2.07663668e+42,2
1.36799498e+42,1
1.42178574e+42,1
1.89346602e+42,3
1.8233983e+42,2
1.55470389e+42,2
2.36490921e+42,3
2.91772074e+42,5
1.89594674e+42,2
1.6416151e+42,1
1.18488545e+43,3
1.7092271e+42,2
1.20626412e+42,0
1.22014292e+42,1
8.9766746e+41,0
1.11623746e+42,1
2.08718974e+42,3
1.43575773e+42,3
1.38549036e+42,1
1.30297452e+42,1
1.15953233e+42,0
1.86107315e+42,2
1.41854356e+42,0
1.28558861e+42,0
2.08271303e+42,3
2.03618562e+42,4
2.14519459e+42,2
1.64193492e+42,1
2.24886646e+42,2
2.39343483e+42,2
1.1035424e+42,0
2.00259914e+42,4
2.04376668e+42,4
1.98902006e+42,3
1.31640839e+42,2
3.34376202e+42,5
2.13436729e+42,1
2.51276339e+42,4
1.15854613e+42,1
2.33978411e+42,2
2.10047793e+42,2
1.77263493e+42,4
1.42595947e+42,3
1.36523345e+42,1
1.36360825e+42,0
1.06645703e+42,1
1.42999844e+42,1
1.57615243e+42,1
1.19326777e+42,1
1.38144189e+42,1
2.56883495e+42,3
1.59955525e+42,1
2.17836133e+42,4
3.58079876e+42,2
1.31842253e+42,0
3.45310946e+42,4
1.62060474e+42,1
1.15675045e+42,2
1.96836386e+43,0
1.3069427e+42,2
1.04917889e+42,1
1.98367694e+42,1
2.20426242e+42,4
1.35627483e+42,3
1.58371027e+42,1
1.60616622e+42,2
1.11031983e+42,2
1.78640404e+42,3
1.27390553e+42,1
1.34809337e+42,2
1.55272248e+42,2
1.55725616e+42,1
1.22969037e+42,1
1.61712199e+42,1
1.7102554e+42,2
1.17726436e+42,0
2.02953586e+42,5
2.6436179e+42,5
1.23381398e+42,1
1.5250605e+42,1
2.23940471e+42,2
1.25001242e+42,2
1.1333123e+42,0
1.82771612e+42,2
1.59110908e+42,1
2.35266685e+42,6
1.28769792e+42,2
1.51900784e+42,3
8.65523245e+41,0
1.67339559e+42,1
1.48242878e+42,3
2.45060843e+42,1
2.35151212e+42,4
1.77870955e+42,1
3.39957869e+42,3
1.29046807e+42,1
1.86389198e+42,2
1.53394807e+42,0
1.53807298e+42,5
2.52477572e+42,3
1.5042227e+42,2
1.30075587e+42,1
2.28727281e+42,3
1.6105006e+42,3
1.74475922e+42,2
1.83522246e+42,3
1.41464473e+42,2
1.3650118e+42,1
1.62156012e+42,1
1.32658538e+42,1
1.02947957e+42,0
1.61185603e+42,2
2.27624597e+42,1
1.60534613e+42,3
1.49256399e+42,0
2.60211549e+42,5
9.57305595e+41,1
2.11674611e+42,4
1.32672219e+42,0
1.68800612e+42,2
1.71314487e+42,3
1.77688743e+42,2
2.84377343e+42,4
1.62114463e+42,2
1.87350566e+42,3
2.40070846e+42,4
2.37896132e+42,2
1.645356e+42,1
1.52277322e+42,2
1.38299613e+42,2
2.85306492e+42,3
1.53575703e+42,1
1.5443776e+42,1
1.37777317e+42,1
1.70320612e+42,3
1.44377192e+42,3
1.2333119e+42,1
1.08798674e+42,1
1.54916965e+42,2
1.59506545e+42,2
1.76591735e+42,5
1.97888749e+42,3
2.12872156e+42,6
2.08875129e+42,3
1.03194275e+42,2
2.2364956e+42,2
2.76113619e+42,2
3.59768919e+42,2
2.20066368e+42,1
1.46804036e+42,0
1.26104144e+42,1
1.38199544e+42,3
1.84175814e+42,3
