limits,candsInSens
6.4721818e-41,0
1.14478896e-40,1
4.6557085e-41,0
8.371834e-41,1
6.00417309e-41,0
7.5050863e-41,0
5.85837055e-41,0
6.35227127e-41,1
1.18512456e-40,1
6.50746637e-41,0
5.37549131e-41,0
5.90334083e-41,0
6.23009818e-41,0
8.5565982e-41,1
6.73405654e-41,0
7.93941041e-41,2
6.8549966e-41,1
5.050432e-41,0
6.33332926e-41,0
7.64560675e-41,1
6.19818073e-41,0
4.74563214e-41,0
4.87823394e-41,0
7.93553868e-41,1
1.10200109e-40,0
8.94027109e-41,2
5.63730322e-41,0
9.78331548e-40,0
1.03283019e-40,0
5.75052925e-41,0
8.30963021e-41,1
7.5967073e-41,1
5.73150277e-41,0
4.55681322e-41,0
8.38344736e-41,1
6.12409428e-41,0
8.03753774e-41,0
1.03029586e-40,2
5.43453088e-41,0
5.35732178e-41,0
9.13896666e-41,0
5.7327496e-41,1
8.70597505e-41,2
4.12356758e-41,0
7.67259239e-41,0
1.1437648e-40,3
6.08619775e-41,1
5.05328912e-41,0
7.1839476e-41,2
8.31414355e-41,1
7.2808045e-41,1
1.0431316e-40,2
6.43655469e-41,0
1.0094023e-40,0
1.05364403e-40,1
5.78952976e-41,0
6.92705609e-41,0
5.37002931e-41,0
5.05894646e-41,0
7.62092083e-41,2
9.31125139e-41,0
8.38671881e-41,0
8.22137072e-41,2
7.2340178e-41,1
5.82083229e-41,0
8.43066119e-41,1
7.53346287e-41,1
5.92280274e-41,0
7.60433186e-41,1
7.56527092e-41,1
5.65684044e-41,0
6.1098644e-41,0
7.1594264e-41,0
6.91536467e-41,0
5.69336983e-41,1
7.78606399e-41,1
5.0047343e-41,0
7.58683885e-41,0
8.7489571e-41,2
1.05146717e-40,1
7.07810676e-41,0
5.61884144e-41,0
7.59677766e-41,1
5.04679506e-41,0
6.50702833e-41,0
9.20135824e-41,2
5.15367632e-41,0
1.1733623e-40,3
1.11633699e-40,2
9.14148268e-41,0
7.06257892e-41,0
5.64447824e-41,0
5.88216448e-41,0
9.77178306e-41,0
8.61845619e-41,1
8.0906741e-41,0
6.55856797e-41,0
6.30387871e-41,0
6.16056349e-41,1
9.61093415e-41,1
6.52750263e-41,0
6.98427573e-41,1
5.57146985e-41,0
7.26994671e-41,0
6.21324261e-41,0
7.38053264e-41,2
8.16347028e-41,0
8.90534662e-41,0
6.66200388e-41,1
6.47337987e-41,0
5.91139131e-41,0
4.35612684e-41,0
1.16911196e-40,2
5.3761074e-41,0
4.69465093e-41,0
8.55417348e-41,0
6.19029378e-41,1
7.42459073e-41,1
5.52136413e-41,0
1.25585579e-40,1
1.03882518e-40,2
8.14725922e-41,0
8.61851767e-41,2
5.89843128e-41,1
6.07407566e-41,0
4.94978025e-41,0
1.03639485e-40,2
6.03669543e-41,1
6.4103121e-41,0
5.30013284e-41,0
5.65112382e-41,0
9.28938708e-41,2
7.31424671e-41,2
6.94712001e-41,0
5.01010748e-41,1
5.05774475e-41,0
7.47056343e-41,1
5.85048379e-41,0
7.36133472e-41,0
9.91614087e-41,2
6.73271226e-41,0
8.04618925e-41,2
7.6230438e-41,1
8.9455424e-41,1
7.16926614e-41,2
7.40196106e-41,0
1.19284994e-40,1
1.02914399e-40,2
6.77000176e-41,1
7.41636901e-41,1
7.29687068e-41,0
6.28071457e-41,0
7.2171752e-41,0
5.07365309e-41,0
1.06369131e-40,1
5.09887944e-41,0
7.72937316e-41,0
4.84274156e-41,0
6.7089695e-41,1
6.23170299e-41,0
5.34900663e-41,0
1.07831038e-40,0
5.12627814e-41,0
7.36937054e-41,1
5.69014035e-41,0
6.59771919e-41,0
5.96893879e-41,0
8.81038233e-41,0
4.9406605e-41,0
6.59356484e-41,1
6.08278422e-41,0
6.98886296e-41,1
8.10452296e-41,0
5.11221936e-41,0
5.53114631e-41,0
1.50955995e-40,0
7.21220049e-41,0
8.46340191e-41,1
6.29849852e-41,0
8.11638215e-41,2
6.91380145e-41,0
5.53210868e-41,0
5.43632005e-41,0
5.55797908e-41,0
4.97708825e-41,0
9.25521465e-41,1
7.6209735e-41,0
9.19639647e-41,2
5.61420742e-41,0
5.89345644e-41,0
7.60882803e-41,2
6.96703575e-41,0
9.43662295e-41,2
1.40631594e-40,2
1.08780053e-40,1
4.68938291e-41,0
7.28964068e-41,1
5.49172126e-41,1
4.86066747e-41,0
8.80652885e-41,3
6.67169674e-41,0
9.07545616e-41,1
9.04054553e-41,2
8.61604227e-41,1
4.80977351e-41,0
5.66039324e-41,1
8.28557706e-41,0
7.85087312e-41,0
6.19049672e-41,0
7.51501693e-41,0
1.46856569e-40,4
4.55410789e-41,0
4.79439141e-41,0
5.03945984e-41,0
7.45013405e-41,2
4.95052296e-41,0
5.32039629e-41,1
7.12385785e-41,1
8.9718512e-41,2
6.90528501e-41,1
9.44152002e-41,0
1.04851108e-40,0
4.33697702e-41,0
1.18682173e-40,0
6.85932835e-41,1
4.72227035e-41,0
6.32671913e-41,2
5.65686257e-41,0
6.87753674e-41,0
7.43595677e-41,0
7.16646591e-41,0
1.17929399e-40,1
6.21663031e-41,0
9.52608561e-41,0
4.91023873e-41,0
6.08255953e-41,0
6.47416476e-41,1
5.09321436e-41,1
9.16565265e-41,1
5.02179523e-41,0
1.11396115e-40,2
1.35619963e-40,2
5.51953776e-41,0
6.32399232e-41,1
5.61287793e-41,0
4.46441374e-41,0
6.81097094e-41,1
6.72683559e-41,0
9.72265794e-41,1
6.26573309e-41,0
5.56577049e-41,0
4.95060926e-41,0
6.76650956e-41,0
8.98243349e-41,1
7.16102707e-41,1
5.9310627e-41,0
5.54941338e-41,0
8.53838274e-41,2
